,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
10,12%,"Lessini Durello, Veneto, Italy",750 ml,Sparkling, Italy,6/1/2019,"Smooth, savory and stunning, this lovely sparkler has delicately enticing aromas of yellow pear, spring flower, toasted brioche, crushed stone and citrus zest. The silky palate delivers Golden Delicious apple, ripe apricot, almond and a honeyed mineral note. An elegant mousse softens the bone-dry finish.",Montecchi Pas Dosé,1_No Submitting Co,Bellaguardia 2012 Montecchi Pas Dosé  (Lessini Durello),N/A, Veneto,93,Lessini Durello,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Durella, Italian White",2012,Bellaguardia
11,12%,"Lessini Durello, Veneto, Italy",750 ml,Sparkling, Italy,6/1/2019,"Inviting aromas of Spanish broom, yellow stone fruit, pastry dough and a whiff of honey form the nose. Enticingly elegant, the vibrant palate offers dried apricot, mature yellow apple, orange zest and a hint of honeyed mineral alongside a soft continuous perlage and fresh acidity. It closes on an almond note.",60 Mesi Extra Brut,Zeman Global Selections,Gianni Tessari NV 60 Mesi Extra Brut  (Lessini Durello),$48, Veneto,92,Lessini Durello,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Durella, Italian White",,Gianni Tessari
12,12.5%,"Lessini Durello, Veneto, Italy",750 ml,Sparkling, Italy,6/1/2019,"White spring wild flower, citrus, yellow stone fruit and crushed rock aromas form the nose. The racy bone-dry palate offers dried apricot, white grapefruit, toasted hazelnut and a hint of fennel set against firm acidity and a vibrant perlage.",Extra Brut,Il Pioppo,Sandro de Bruno 2010 Extra Brut  (Lessini Durello),N/A, Veneto,92,Lessini Durello,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Durella, Italian White",2010,Sandro de Bruno
13,12.5%,"Lessini Durello, Veneto, Italy",750 ml,Sparkling, Italy,6/1/2019,"Toasted bread crust, white almond and an earthy note of underbrush mingle with stone fruit aromas. It's vibrant, evoking yellow-apple, lemon-zest, salty mineral and grilled herb flavors framed in racy acidity and a refined mousse.",Brut Riserva,J. Strecker Selections,Franchetto 2014 Brut Riserva  (Lessini Durello),N/A, Veneto,90,Lessini Durello,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Durella, Italian White",2014,Franchetto
14,12.5%,"Lessini Durello, Veneto, Italy",750 ml,Sparkling, Italy,6/1/2019,"Made with organically farmed Durella grapes, this sparkler opens with aromas of acacia flower, toasted bread crust and orange rind. The aromas carry over to the dry linear palate along with a hint of dried apple and bitter walnut.",Pas Dosé,1_No Submitting Co,Fongaro 2010 Pas Dosé  (Lessini Durello),N/A, Veneto,90,Lessini Durello,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Durella, Italian White",2010,Fongaro
15,12%,"Lessini Durello, Veneto, Italy",750 ml,Sparkling, Italy,6/1/2019,"Aromas evoking ripe yellow stone fruit, crushed stone, wild herb and a whiff of bread crust shape the nose. The bright sleek palate shows apricot, golden apple, citrus and steely mineral alongside a silky perlage. It closes on an almond note.",36 Mesi,Zeman Global Selections,Gianni Tessari NV 36 Mesi  (Lessini Durello),$30, Veneto,90,Lessini Durello,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Durella, Italian White",,Gianni Tessari
16,12%,"Lessini Durello, Veneto, Italy",750 ml,Sparkling, Italy,6/1/2019,"Aromas of brimstone, yellow apple, and citrus carry over to the vibrant palate along with juicy Bartlett pear, honeydew melon and candied lemon drop. Bright acidity and a vivacious perlage provide the racy backdrop.",Blanc de Blancs Brut,A&B Wines & Spirits,Cà d'Or 2017 Blanc de Blancs Brut  (Lessini Durello),$22, Veneto,89,Lessini Durello,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Durella, Italian White",2017,Cà d'Or
17,12.5%,"Lessini Durello, Veneto, Italy",750 ml,Sparkling, Italy,6/1/2019,Aromas of toasted bread crust chamomile and yellow stone fruit follow over to the racy palate along with grapefruit and bitter almond. Vibrant acidity and a lively perlage provide the backdrop.,2013,1_Not Imported into US,Ca' Rugate 2013 2013  (Lessini Durello),N/A, Veneto,89,Lessini Durello,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Durella, Italian White",2013,Ca' Rugate
18,13.5%,"Terre del Volturno, Southern Italy, Italy",750 ml,White, Italy,6/1/2019,"Made from Campania's native Pallagrello Bianco, this opens with aromas of citrus, peach and a whiff of thyme that carry over to the medium-bodied palate. It's balanced by fresh acidity, with a hazelnut note on the close.",,Montecastelli Selections,Vestini Campagnano 2017 Pallagrello Bianco (Terre del Volturno),N/A, Southern Italy,89,Terre del Volturno,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Pallagrello Bianco, Italian White",2017,Vestini Campagnano
19,12%,"Lessini Durello, Veneto, Italy",750 ml,Sparkling, Italy,6/1/2019,"Aromas of toasted bread crust, coconut and mature stone fruit lead the nose. On the mature palate, you'll find more toasted notes, coffee and a hint of butterscotch alongside a soft mousse.",Romeo 66 Mesi Extra Brut,1_No Submitting Co,Bellaguardia NV Romeo 66 Mesi Extra Brut  (Lessini Durello),N/A, Veneto,88,Lessini Durello,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Durella, Italian White",,Bellaguardia
20,12.5%,"Lessini Durello, Veneto, Italy",750 ml,Sparkling, Italy,6/1/2019,"Toasted bread crust, acacia honey and yellow-apple aromas follow through to the racy palate along with yellow apple and grapefruit and a salty mineral note. Steely bubbles and firm acidity provide the backdrop.",Cuvée Augusto Dosaggio Zero Riserva,1_Not Imported into US,Corte Giacobbe 2012 Cuvée Augusto Dosaggio Zero Riserva  (Lessini Durello),N/A, Veneto,88,Lessini Durello,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Durella, Italian White",2012,Corte Giacobbe
21,13.5%,"Santa Ynez Valley, Central Coast, California, US",750 ml,White, US,6/1/2019,"Bright and fresh aromas of lime blossom, key lime pie, ripe nectarine, chalk and jasmin show on the expressive nose of this bottling. There is a great zing to the palate as well as a chalky grip, allowing ripe pear and peach-oil flavors to shine, though they do become sweeter as the wine breathes and warms.",,,Brick Barn 2016 Vermentino (Santa Ynez Valley),$40, California,88, Central Coast,Matt Kettmann,@mattkettmann,Santa Ynez Valley,Not rated yet [Add Your Review],"Vermentino, Italian White",2016,Brick Barn
22,N/A,"Lessini Durello, Veneto, Italy",750 ml,Sparkling, Italy,6/1/2019,"White flower, summer orchard fruit, pastry dough and a whiff of botanical herb lead the nose. The vibrant palate offers ripe yellow apple, bread crust, lemon drop and chestnut honey alongside and elegant mousse.",Settecento 33 Riserva,Mionetto USA,Cantina di Soave NV Settecento 33 Riserva  (Lessini Durello),$30, Veneto,88,Lessini Durello,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Durella, Italian White",,Cantina di Soave
23,11%,"Vino Spumante, Italy Other, Italy",750 ml,Sparkling, Italy,6/1/2019,"This fragrant sparkler has intense aromas of white rose, citrus and yellow peach. The off-dry, foaming palate offers apricot, pink grapefruit and wild strawberry alongside vibrant acidity.",Manzoni Rosa Extra Dry,Superior Wines,Cà di Rajo 2018 Manzoni Rosa Extra Dry Manzoni (Vino Spumante),N/A, Italy Other,87,Vino Spumante,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Manzoni, Italian White",2018,Cà di Rajo
24,13%,"Hudson River Region, New York Other, New York, US",750 ml,White, US,6/1/2019,"Stony citrus, apple peel, lemongrass and white flowers grace the nose. This is well rounded on the palate, with ample acidity to balance flavors of melon and citrus, with a tactile, chalky finish.",Proprietor's Special Reserve,,Millbrook 2017 Proprietor's Special Reserve Tocai Friulano (Hudson River Region),$20, New York,87, New York Other,Alexander Peartree,@apatrone23,Hudson River Region,Not rated yet [Add Your Review],"Tocai Friulano, Italian White",2017,Millbrook
25,13.5%,"Toscana, Tuscany, Italy",750 ml,White, Italy,5/1/2019,"Yellow-peach, tropical-fruit and Mediterranean brush aromas follow through to the fresh, rounded palate along with a vein of saline and white grapefruit. It's juicy and savory, with a bitter-almond finish.",Solosole,LUX Wines,Poggio al Tesoro 2017 Solosole Vermentino (Toscana),$25, Tuscany,90,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Vermentino, Italian White",2017,Poggio al Tesoro
26,13.5%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,5/1/2019,"This Ciliegiolo opens with aromas evoking red berry, forest floor and cedar while the savory palate delivers crushed raspberry, star anise and white pepper. Drink through 2022.",Canto della Pieve,Dillmann Wine Merchants,Quercia al Poggio 2015 Canto della Pieve Ciliegiolo (Toscana),$29, Tuscany,90,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Ciliegiolo, Italian White",2015,Quercia al Poggio
27,12.5%,"Toscana, Tuscany, Italy",750 ml,White, Italy,5/1/2019,Aromas of citrus blossom and white grapefruit lead the way on this savory white. The aromas follow over to the juicy palate together with apricot and a tangy hint of saline.,,Vias Imports,Campo alle Comete 2017 Vermentino (Toscana),$22, Tuscany,89,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Vermentino, Italian White",2017,Campo alle Comete
28,13.5%,"Vin Santo del Chianti, Tuscany, Italy",500 ml,Dessert, Italy,5/1/2019,"Made with dried Trebbiano grapes, this opens with aromas of ripe fig, toasted hazelnut and orange zest. The warm and enveloping palate delivers acacia honey, marzipan and dried apricot.",,Omniwines Distribution,Castello Sonnino 2011  Vin Santo del Chianti,$30, Tuscany,89,Vin Santo del Chianti,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Trebbiano, Italian White",2011,Castello Sonnino
29,14%,"Toscana, Tuscany, Italy",750 ml,White, Italy,5/1/2019,"Aromas of beeswax, white spring flower and citrus rind mingle with a whiff of honey. The aromas follow over to the savory palate along with yellow peach and a hint of crushed thyme. Fresh acidity lifts the finish.",Vento Forte,Michelangelo Selections,Terre di Talamo 2016 Vento Forte Vermentino (Toscana),$25, Tuscany,89,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Vermentino, Italian White",2016,Terre di Talamo
30,14%,"Toscana, Tuscany, Italy",750 ml,White, Italy,5/1/2019,"Beeswax, orchard-fruit and almond aromas waft out of the glass. The aromas segue over to the rounded, enveloping palate along with dried peach and a hint of citrus.",,"Artisan Wines, Inc",Podere La Cappella 2015 Vermentino (Toscana),$35, Tuscany,88,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Vermentino, Italian White",2015,Podere La Cappella
31,12.5%,"Toscana, Tuscany, Italy",750 ml,White, Italy,5/1/2019,This has delicate aromas of white spring flower and a whiff of honeydew melon that carry over to the easygoing palate along with yellow peach and a hint of citrus. It's straightforward and savory.,,Vintus LLC,Poggio al Tufo 2017 Vermentino (Toscana),$18, Tuscany,87,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Vermentino, Italian White",2017,Poggio al Tufo
32,12%,"Toscana, Tuscany, Italy",750 ml,White, Italy,5/1/2019,"Aromas of toasted nut and acacia lead the nose. The aromas follow over to the rather lean, somewhat disjointed palate along with dried apricot, a confectionery note and a hint of honey.",VIVI,Eagle Eye Brands,Tenuta del Buonamico 2017 VIVI Vermentino (Toscana),$15, Tuscany,86,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Vermentino, Italian White",2017,Tenuta del Buonamico
33,12.5%,"Toscana, Tuscany, Italy",750 ml,White, Italy,5/1/2019,"This opens with subtle aromas of yellow stone fruit and spring flower. The simple, rather fleeting palate offers suggestions of yellow peach, orange rind and a bitter note of chestnut honey.",San Giorgio a Canneto,Tuscan Wine Imports,Torre Matilde 2017 San Giorgio a Canneto Vermentino (Toscana),$20, Tuscany,86,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Vermentino, Italian White",2017,Torre Matilde
34,12%,"Toscana, Tuscany, Italy",750 ml,White, Italy,5/1/2019,"This light-bodied white has aromas and flavors suggesting yellow peach, tropical fruit and a hint of banana. It's simple but well made.",Massovino,Shaw-Ross International Importers,Marchesi de' Frescobaldi 2017 Massovino Vermentino (Toscana),$18, Tuscany,86,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Vermentino, Italian White",2017,Marchesi de' Frescobaldi
35,13%,"Costa Toscana, Tuscany, Italy",750 ml,White, Italy,5/1/2019,"This has aromas evoking toasted nut, pressed flower and lemon peel. The lean simple palate offers grapefruit and a hint of bitter almond alongside a salty note.",Bianco Fiore del Borgo,Eagle Estates Imports,Poggio Nicchiaia 2017 Bianco Fiore del Borgo Vermentino (Costa Toscana),$11, Tuscany,85,Costa Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Vermentino, Italian White",2017,Poggio Nicchiaia
36,14%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"Savory and bright, this delicious red offers aromas of red woodland berry, damp earth, new leather and dark spice. Made with native grape Ciliegiolo, the juicy, structured palate doles out succulent red cherry, raspberry compote, star anise and the merest hint of tangy saline. Firm, refined tannins and fresh acidity lend balance and just enough tension. Drink through 2022.",,Artisanal Cellars,Fattoria Fibbiano 2016 Ciliegiolo (Toscana),$45, Tuscany,93,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Ciliegiolo, Italian White",2016,Fattoria Fibbiano
37,14.5%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"Made entirely with native grape Ciliegiolo, this full-bodied red offers enticing scents of wild cherry, sun-baked soil, underbrush and a whiff of mint. Mirroring the nose, the firm, structured palate delivers dried cherry, star anise, crushed wild herb and tobacco while close-grained tannins lend support. Drink 2020–2025.",Poggio Ciliegio,Premium Brands,Rascioni e Cecconello 2015 Poggio Ciliegio Ciliegiolo (Toscana),$25, Tuscany,91,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Ciliegiolo, Italian White",2015,Rascioni e Cecconello
38,15%,"Murgia, Southern Italy, Italy",375 ml,Dessert, Italy,4/1/2019,"Vibrant amber in color, this passito offers a bright nose of salted almonds, dried leaves and blood orange rind. It's rounded and sweet on the palate, yet well-honed by pulsing acidity and oolong tea-like astringency. Flavors of dried orange and fig resound on the midpalate and extend through the lingering, nutty finish. A perfect choice alongside a cheese plate.",Gravisano Passito di,LLS–Winebow,Botromagno 2008 Gravisano Passito di Malvasia (Murgia),$40, Southern Italy,89,Murgia,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Malvasia, Italian White",2008,Botromagno
39,13.5%,"Toscana, Tuscany, Italy",750 ml,Red, Italy,4/1/2019,"Aromas of wild berry and tilled soil lead the way on this 100% Ciliegiolo. On the medium-bodied palate, the taut, drying tannins creep up on you, offsetting juicy Morello cherry, crushed raspberry, star anise and a hint of rusty iron. Drink through 2020.",Rotulaia,Premium Brands,Rascioni e Cecconello 2017 Rotulaia Ciliegiolo (Toscana),$13, Tuscany,89,Toscana,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Ciliegiolo, Italian White",2017,Rascioni e Cecconello
40,13.5%,"Salento, Southern Italy, Italy",750 ml,White, Italy,4/1/2019,"Made from grapes that are dried after harvest, this white bursts in aromas of rose, grapefruit rind and spice. The palate is textural and rounded in feel, with flavors of white plum skin and melon that lead to a lingering spice note on the finish.",Da Uve Leggermente Appassito,Woodenships Wines,Masso Antico 2017 Da Uve Leggermente Appassito Fiano (Salento),$10, Southern Italy,88,Salento,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Fiano, Italian White",2017,Masso Antico
41,12.5%,"Salento, Southern Italy, Italy",750 ml,White, Italy,4/1/2019,"A fresh nose of lemon, grapefruit and apple moves to the pleasantly plump palate. This is juicy and tangy in feel, with a crisp mineral streak down the midpalate that extends to the tactile, astringent finish.",Il Bianco dei Vespa,Ethica Wines,Vespa 2017 Il Bianco dei Vespa Fiano (Salento),$20, Southern Italy,88,Salento,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Fiano, Italian White",2017,Vespa
42,13.3%,"Russian River Valley, Sonoma, California, US",750 ml,White, US,4/1/2019,"A longtime white for the Italian-influenced producer, this sings in dried lemon peel and petrol, with a floral aroma of white flower. Fresh and tart with a lightness on the palate in body and ripeness, it finishes in bitter lemon.",,,Seghesio 2017 Vermentino (Russian River Valley),$22, California,88, Sonoma,Virginie Boone,@vboone,Russian River Valley,Not rated yet [Add Your Review],"Vermentino, Italian White",2017,Seghesio
43,12.5%,"Puglia, Southern Italy, Italy",750 ml,White, Italy,4/1/2019,"Aromas of ripe yellow apple and melon meld with accents of fennel and creamy banana on the nose. There's a fleshy, pleasantly plump feel to the palate, with tangy acidity keeping the tension. A savory note lingers on the finish.",,LLS–Winebow,Botromagno 2017 Falanghina (Puglia),$19, Southern Italy,88,Puglia,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Falanghina, Italian White",2017,Botromagno
44,13%,"Puglia, Southern Italy, Italy",750 ml,White, Italy,4/1/2019,"A ripe melon aroma is juxtaposed with sharp herb and flint tones on the nose. There's a nice plumpness to the palate that carries flavors of melon rind and citrus zest, with juicy acidity extending to the blanched almond finish.",,Verve Imports,Cantina Ariano 2017 Falanghina (Puglia),N/A, Southern Italy,87,Puglia,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Falanghina, Italian White",2017,Cantina Ariano
45,13%,"Puglia, Southern Italy, Italy",750 ml,White, Italy,4/1/2019,"Boisterous aromas of confected peach and banana carry to the palate. This is light in feel, with sweet-tart fruit flavors and tangy acidity.",Guiscardo,Wine 4 All,Coppi 2018 Guiscardo Falanghina (Puglia),$18, Southern Italy,85,Puglia,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Falanghina, Italian White",2018,Coppi
46,13%,"Vino Bianco d'Italia, Italy Other, Italy",500 ml,White, Italy,3/1/2019,"This intriguing amber-colored wine is made entirely with the rare native grape Dorona grown in the Venetian Lagoon. It opens with aromas of dried apricot, honey, fruitcake and smoke that carry over to the mineral-driven palate along with a note of orange rind and saline. An almond note lingers on the finish. Drink through 2022.",,Wilson Daniels Ltd,Venissa 2012 Dorona (Vino Bianco d'Italia),N/A, Italy Other,94,Vino Bianco d'Italia,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Dorona, Italian White",2012,Venissa
47,12%,"Vino Spumante, Italy Other, Italy",750 ml,Sparkling, Italy,3/1/2019,"Fresh and refined, this elegant sparkler opens with enticing, delicate scents of white stone fruit, spring flower and crushed alpine herb. The dry savory palate delivers Bartlett pear, crunchy apple, lemon zest and ginger set against a foaming mousse. Bright acidity lifts the rich flavors. Delicious!",Grave di Stecca Brut,Terlato Wines International,Nino Franco 2013 Grave di Stecca Brut Glera (Vino Spumante),$38, Italy Other,94,Vino Spumante,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Glera, Italian White",2013,Nino Franco
48,13%,"Vino Bianco d'Italia, Italy Other, Italy",750 ml,White, Italy,3/1/2019,"Complex and compelling, this deeply colored white boasts aromas of orange zest, eucalyptus honey, sea breeze and balsamic notes. Made with Dorona, a nearly extinct grape from Venice, the polished focused palate doles out mature yellow peach, maple syrup and almond accompanied by a savory mineral vein. Fresh acidity lifts the dry finish and bestows an age-worthy structure. Drink through 2023.",,Wilson Daniels Ltd,Venissa 2013 Dorona (Vino Bianco d'Italia),N/A, Italy Other,93,Vino Bianco d'Italia,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Dorona, Italian White",2013,Venissa
49,11.5%,"Valdobbiadene Prosecco, Veneto, Italy",750 ml,Sparkling, Italy,3/1/2019,"Aromas of white spring flower and orchard fruit form the nose on this elegant sparkler. Mirroring the aromas, the silky palate doles out ripe pear, juicy golden apple and crushed herb alongside crisp acidity. A foaming mousse lends finesse.",Brut Nodi,Terlato Wines International,Nino Franco 2016 Brut Nodi  (Valdobbiadene Prosecco),$36, Veneto,92,Valdobbiadene Prosecco,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Glera, Italian White",2016,Nino Franco
50,12%,"Valdobbiadene Prosecco Superiore, Veneto, Italy",750 ml,Sparkling, Italy,3/1/2019,"Fragrant and polished, this elegant sparkler opens with enticing aromas of white spring flower and orchard fruit. On the juicy palate, a silky mousse caresses ripe apple, Bartlett pear and wild herb. It closes on a fennel note.",Vigneto della Riva di San Floriano,Terlato Wines International,Nino Franco 2017 Vigneto della Riva di San Floriano  (Valdobbiadene Prosecco Superiore),$29, Veneto,91,Valdobbiadene Prosecco Superiore,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Glera, Italian White",2017,Nino Franco
51,11%,"Valdobbiadene Prosecco Superiore, Veneto, Italy",750 ml,Sparkling, Italy,3/1/2019,"Honeysuckle, green-apple and white-almond aromas follow over to the lightly foaming palate along with pear, crushed herb and a hint of ginger. A soft mousse provides the backdrop.",Brut,Terlato Wines International,Nino Franco 2017 Brut  (Valdobbiadene Prosecco Superiore),$27, Veneto,90,Valdobbiadene Prosecco Superiore,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Glera, Italian White",2017,Nino Franco
52,14%,"Vermentino di Gallura, Sicily & Sardinia, Italy",750 ml,White, Italy,2/1/2019,"Enticing scents of honeysuckle, apricot and tropical fruit almost leap out of the glass. The juicy rounded palate doles out pineapple, yellow peach and lemon drop while a hint of saline energizes the finish. It's incredibly delicious.",Superiore Sciala,Cantiniere,Vigne Surrau 2017 Superiore Sciala  (Vermentino di Gallura),$26, Sicily & Sardinia,94,Vermentino di Gallura,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Vermentino, Italian White",2017,Vigne Surrau
53,13.5%,"Vermentino di Gallura, Sicily & Sardinia, Italy",750 ml,White, Italy,2/1/2019,"Yellow peach, Mediterranean brush and a whiff sea breeze virtually leap out of the glass. Tangy and savory, the bright, medium-bodied palate doles out juicy apricot, pineapple and a hint of wild fennel. A tangy saline note marks the close.",Branu,Cantiniere,Vigne Surrau 2017 Branu  (Vermentino di Gallura),$16, Sicily & Sardinia,93,Vermentino di Gallura,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Vermentino, Italian White",2017,Vigne Surrau
