,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
10,14.5%,"Montefalco Sagrantino, Central Italy, Italy",750 ml,Red, Italy,4/1/2019,"Aromas of French oak, baked plum, blackberry jam, vanilla and a balsamic note form the nose along with a whiff of nail polish. Bold and densely concentrated, the palate offers mouthfuls of blackberry jam, dried cherry, mocha, oak-driven spice and a confectionary note. The tightly packed, close-gained tannins creep up on you and clench the finish along with the heat of alcohol.",Spinning Beauty,Wilson Daniels Ltd,Arnaldo Caprai 2007 Spinning Beauty  (Montefalco Sagrantino),$343, Central Italy,90,Montefalco Sagrantino,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Sagrantino, Italian Red",2007,Arnaldo Caprai
11,14.5%,"Salento, Southern Italy, Italy",750 ml,Red, Italy,4/1/2019,"Vibrant aromas of spiced cranberry and strawberry meld with accents of crushed black pepper and dried mentholated herbs. Firmly medium in weight, the palate is savory and racy yet well balanced by lingering flavors of juicy red cherry and tart currant. A taut line of acidity and firm tannins make this an easy choice for the dinner table.",Masseria Maìme,Ste. Michelle Wine Estates,Tormaresca 2013 Masseria Maìme Negroamaro (Salento),$35, Southern Italy,90,Salento,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Negroamaro, Italian Red",2013,Tormaresca
12,14.4%,"Paso Robles Willow Creek District, Central Coast, California, US",750 ml,Red, US,4/1/2019,"Quite dark in the glass, this bottling of a grape from northern Italy shows aromas of black cherry, blackberry, loamy soil and roasted coffee. The mouthfeel is chalky and nearly sticky, with dark-fruit flavors lifted by wild thyme and sagebrush. Drink 2020–2026.",Estate,,Pelletiere 2016 Estate Lagrein (Paso Robles Willow Creek District),$56, California,90, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles Willow Creek District,Not rated yet [Add Your Review],"Lagrein, Italian Red",2016,Pelletiere
13,14%,"Puglia, Southern Italy, Italy",750 ml,Red, Italy,4/1/2019,"Dense aromas of dark cherry coulis, cigar wrapper, leather and anise form a warming, inviting nose. There's richness on the palate in the form of ripe dark-skinned fruit, with more leather and tobacco meeting a slick of tangy granite. Drying, medium-grained tannins and pert acidity frame it all.",Helena,Ethica Wines,Vespa 2014 Helena Nero di Troia (Puglia),$55, Southern Italy,89,Puglia,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Nero di Troia, Italian Red",2014,Vespa
14,14%,"Salento, Southern Italy, Italy",750 ml,Red, Italy,4/1/2019,"There's good depth to the blackberry and cherry jam aromas on the nose, with levity coming from flecks of allspice and clove. The medium-bodied palate is rounded out by ripe berry flavors and honed by a tangy mineral slick. There's some grit to the tannins but ultimately this is reigned in by a wealth of fruit and acidity.",,Monsieur Touton Selection Ltd,Feudo Croce 2016 Aglianico (Salento),$12, Southern Italy,88,Salento,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2016,Feudo Croce
15,13%,"Castel del Monte, Southern Italy, Italy",750 ml,Red, Italy,4/1/2019,"Bright aromas of ripe cherry, blood orange and violet carry the nose of this playful red. The light-bodied palate is buoyant in red fruit flavors, with juicy acidity and a pleasing tannic grip.",Violante,Montcalm Wine Importers,Rivera 2016 Violante Nero di Troia (Castel del Monte),$17, Southern Italy,88,Castel del Monte,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Nero di Troia, Italian Red",2016,Rivera
16,13.5%,"Nardò, Southern Italy, Italy",750 ml,Red, Italy,4/1/2019,"This is a juicy yet taut Negroamaro that's sourced from 20-year-old alberello-trained vines. A nose of leather and clove moves to a sour cherry-laden palate, with tangy granite and well-mannered yet pervasive tannins.",Roccamora,Massanois Imports,Schola Sarmenti 2016 Roccamora Negroamaro (Nardò),$22, Southern Italy,88,Nardò,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Negroamaro, Italian Red",2016,Schola Sarmenti
17,13%,"Puglia, Southern Italy, Italy",750 ml,Red, Italy,4/1/2019,"This straighforward offering brings aromas of crushed strawberry and currant to the fore, with shades of fennel frond and tobacco leaf. It's light and tangy on the palate yet persistent in its juicy red-fruit flavor, with slicks of granite and cocoa-nib dusted tannins bringing savory appeal.",,Verve Imports,Cantina Ariano 2015 Negroamaro (Puglia),N/A, Southern Italy,88,Puglia,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Negroamaro, Italian Red",2015,Cantina Ariano
18,13%,"Puglia, Southern Italy, Italy",750 ml,Red, Italy,4/1/2019,"Light aromas of red currant and cherry meld with flecks of peppery spice and tobacco on the nose. This is light and zesty in feel, with a dusting of tannins that prop up the crushed cranberry and currant flavors.",,LLS–Winebow,Botromagno 2015 Nero di Troia (Puglia),$20, Southern Italy,87,Puglia,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Nero di Troia, Italian Red",2015,Botromagno
19,14%,"Castel del Monte, Southern Italy, Italy",750 ml,Red, Italy,4/1/2019,"A mild concentration of strawberry and cherry preserves greats the nose, with bits of earth and red flowers in the background. This is a straightforward, juicy offering that is propped up by tangy acidity and soft tannins.",Augustale Riserva,Pullano Imports,Cantina di Ruvo 2013 Augustale Riserva Nero di Troia (Castel del Monte),$26, Southern Italy,87,Castel del Monte,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Nero di Troia, Italian Red",2013,Cantina di Ruvo
20,15%,"Salento, Southern Italy, Italy",750 ml,Red, Italy,4/1/2019,"A wealth of frankincense and sweet spice carries over the red plum and cherry core. This is soft and supple on the palate, with proper balance of acidity and tannin to give it grip. Enjoy soon for its fruity, gentle approach.",Antièri,Massanois Imports,Schola Sarmenti 2016 Antièri Susumaniello (Salento),$31, Southern Italy,87,Salento,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Susumaniello, Italian Red",2016,Schola Sarmenti
21,12.5%,"Puglia, Southern Italy, Italy",750 ml,Red, Italy,4/1/2019,"Sheens of mulling spice and cigar wrapper cover a core of raspberry and cherry aromas. The medium-bodied palate offers a dollop of tangy cranberry, with baking spice on the midpalate and coffee on the finish.",Grifo,Pullano Imports,Cantina di Ruvo 2016 Grifo Nero di Troia (Puglia),$14, Southern Italy,86,Puglia,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Nero di Troia, Italian Red",2016,Cantina di Ruvo
22,15%,"Salento, Southern Italy, Italy",750 ml,Red, Italy,4/1/2019,"Aromas of smashed red plum and berries carry a sheen of hard cheese rind and milk chocolate on the nose. There's a sheen of sweet oak on the first sip, with a juicy red-berry flavor taking over on the midpalate. Bright acidity and sandy tannins remain a constant from start to finish.",Terragnolo,Montcalm Wine Importers,Apollonio 2012 Terragnolo Negroamaro (Salento),$24, Southern Italy,86,Salento,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Negroamaro, Italian Red",2012,Apollonio
23,13.5%,"Salento, Southern Italy, Italy",750 ml,Red, Italy,4/1/2019,"Ripe aromas of strawberry and dark cherry kick off this easygoing red. It's fleshy and fruity on the palate, with a soft tannic texture and mild acidity.",,Montcalm Wine Importers,Rivera 2017 Negroamaro (Salento),$16, Southern Italy,85,Salento,Alexander Peartree,@apatrone23,,Not rated yet [Add Your Review],"Negroamaro, Italian Red",2017,Rivera
24,11.7%,"Luján de Cuyo, Mendoza Province, Argentina",750 ml,Red, Argentina,3/1/2019,"With a color like cranberry juice and gritty aromas that are low on fruit and heavy on asphalt and leather, this is an off-beat varietal Montepulciano. A light lucid palate contains tart lean flavors of currant and pie cherry.",Proyecto Las Compuertas,The Artisan Collection,Durigutti 2017 Proyecto Las Compuertas Cordisco (Luján de Cuyo),N/A, Mendoza Province,82,Luján de Cuyo,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],"Cordisco, Italian Red",2017,Durigutti
25,14%,"Irpinia, Southern Italy, Italy",750 ml,Red, Italy,2/1/2019,"Enticing mature dark berry, tobacco, forest floor and leather lead the nose. The concentrated, generous palate delivers blackberry jam, clove, star anise and ground pepper alongside polished, silky tannins. Drink 2020–2030.",Serpico,Terlato Wines International,Feudi di San Gregorio 2013 Serpico Aglianico (Irpinia),$75, Southern Italy,93,Irpinia,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2013,Feudi di San Gregorio
26,12.5%,"Coste della Sesia, Piedmont, Italy",750 ml,Red, Italy,2/1/2019,"Made entirely with native red grape Vespolina, this fragrant red opens with mouthwatering aromas of white pepper, ground clove, wild berry and violet. The aromas carry on to the savory palate together with crushed raspberry, strawberry and black pepper. A tangy saline note wraps up the finish while supple tannins lend elegant support.",,1_No Submitting Co,La Badina 2015 Vespolina (Coste della Sesia),N/A, Piedmont,92,Coste della Sesia,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Vespolina, Italian Red",2015,La Badina
27,12.5%,"Riverland, South Australia, Australia",750 ml,Red, Australia,2/1/2019,"This natural-leaning producer delivers once again, this time with a Sicilian variety from the up-and-coming Riverland region. This wine offers cran-raspberry fruit, drying leaves, earth, meat and drying herbs on the nose. The light- to medium-bodied palate brings more cranberry tang, with savory, sinewy tannins and an earthy core. This is a textural wine perfect for charcuterie or roast meats.",The River,Epicurean Wines,Unico Zelo 2017 The River Nero d'Avola (Riverland),$30, South Australia,92,Riverland,Christina Pickard,@winewchristina,,Not rated yet [Add Your Review],"Nero d'Avola, Italian Red",2017,Unico Zelo
28,13.8%,"Clare Valley, South Australia, Australia",750 ml,Red, Australia,2/1/2019,"This wine is rustic and just a touch funky. Bright, crunchy red fruit, minerals and earth are bolstered by raspy, savory tannins and lively acidity. Somewhere between light and medium bodied, this is a restrained yet juicy-fruited table wine that's a joy to drink.",Cherry Fields,Epicurean Wines,Unico Zelo 2016 Cherry Fields Dolcetto (Clare Valley),$30, South Australia,91,Clare Valley,Christina Pickard,@winewchristina,,Not rated yet [Add Your Review],"Dolcetto, Italian Red",2016,Unico Zelo
29,13.5%,"Irpinia, Southern Italy, Italy",750 ml,Red, Italy,2/1/2019,"This wine opens with alluring aromas of violet, dark berry, nutmeg and thyme. The vibrant palate offers black cherry, licorice and clove alongside fine-grained tannins.",Dal Re,Terlato Wines International,Feudi di San Gregorio 2016 Dal Re Aglianico (Irpinia),$31, Southern Italy,90,Irpinia,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2016,Feudi di San Gregorio
30,13%,"Irpinia, Southern Italy, Italy",750 ml,Red, Italy,2/1/2019,"Aromas of woodland berry, dark spice and tilled soil lead the nose. The bright palate offers Marasca cherry, star anise and white pepper alongside firm tannins and fresh acidity.",Memini,Vinifera Imports,Guastaferro 2013 Memini Aglianico (Irpinia),$50, Southern Italy,90,Irpinia,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2013,Guastaferro
31,13.5%,"Campania, Southern Italy, Italy",750 ml,Red, Italy,2/1/2019,"Dark berry, Mediterranean scrub and tangerine zest aromas carry over the juicy palate along with sour cherry and star anise. Fresh acidity adds backup while firm tannins provide the framework. Drink 2019–2024.",,Siena Imports,Villa Raiano 2016 Aglianico (Campania),$26, Southern Italy,90,Campania,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2016,Villa Raiano
32,14%,"Irpinia, Southern Italy, Italy",750 ml,Red, Italy,2/1/2019,"Enticing aromas of violet, red berry and clove lead the nose while the vibrant palate offers raspberry jam, star anise and black pepper. Fine-grained tannins support the savory flavors.",Campi Taurasini Salae Domini,de Grazia Imports LLC,Antonio Caggiano 2015 Campi Taurasini Salae Domini Aglianico (Irpinia),$35, Southern Italy,90,Irpinia,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2015,Antonio Caggiano
33,13.5%,"Irpinia, Southern Italy, Italy",750 ml,Red, Italy,2/1/2019,"Aromas of dark berry, violet and cooking spice emerge from the glass. The vibrant palate offers crushed blackberry, licorice and clove alongside smooth tannins. Drink through 2022.",Rubrato,Terlato Wines International,Feudi di San Gregorio 2016 Rubrato Aglianico (Irpinia),$28, Southern Italy,90,Irpinia,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2016,Feudi di San Gregorio
34,13%,"Campi Flegrei, Southern Italy, Italy",750 ml,Red, Italy,2/1/2019,"Aromas of dark-skinned berry, tilled soil and smoke emerge from the glass. The juicy palate delivers black plum, black cherry jam, clove and white pepper alongside polished tannins and fresh acidity.",Vigna Madre,Oliver McCrum Wines,La Sibilla 2014 Vigna Madre Piedirosso (Campi Flegrei),$30, Southern Italy,90,Campi Flegrei,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Piedirosso, Italian Red",2014,La Sibilla
35,14.5%,"Irpinia, Southern Italy, Italy",750 ml,Red, Italy,2/1/2019,"Aromas of ripe black-skinned berry, Mediterranean brush and dark spice lead the nose. The dense palate offers blackberry jam, black pepper and a touch of cocoa alongside polished tannins.",Zero Supercampano,Vignaioli Selection,Tempa di Zoè 2015 Zero Supercampano Aglianico (Irpinia),$60, Southern Italy,90,Irpinia,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2015,Tempa di Zoè
36,13.5%,"Irpinia, Southern Italy, Italy",750 ml,Red, Italy,2/1/2019,"Aromas of pressed violet, red berry and underbrush lead the nose. The savory polished palate delivers raspberry, red cherry and cinnamon alongside velvety tannins and fresh acidity.",RediMore,Leonardo LoCascio Selections–The Winebow Group,Mastroberardino 2016 RediMore Aglianico (Irpinia),$30, Southern Italy,90,Irpinia,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2016,Mastroberardino
37,13%,"Coste della Sesia, Piedmont, Italy",750 ml,Red, Italy,2/1/2019,Aromas of ground pepper and ripe black-skinned berry follow over to the smooth juicy palate along with raspberry compote. Polished tannins provide the elegant framework. Drink through 2021.,,Banville Wine Merchants,Pietro Cassina 2011 Vespolina (Coste della Sesia),$60, Piedmont,90,Coste della Sesia,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Vespolina, Italian Red",2011,Pietro Cassina
38,13.5%,"Irpinia, Southern Italy, Italy",750 ml,Red, Italy,2/1/2019,"Dark berry, leather and eucalyptus aromas come together in the glass. The savory palate offers raspberry jam, dried black cherry and a note of cocoa alongside fine-grained tannins and fresh acidity.",Il Principio,1_No Submitting Co,Terredora Di Paolo 2010 Il Principio Aglianico (Irpinia),N/A, Southern Italy,90,Irpinia,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2010,Terredora Di Paolo
39,14%,"Sannio, Southern Italy, Italy",750 ml,Red, Italy,2/1/2019,"This opens with aromas of ripe dark fruit, eucalyptus and leather. The juicy palate delivers black cherry jam, clove and black pepper. It's well balanced, with fresh acidity and fine-grained tannins.",Manent,Villa Italia,Terre Stregate 2015 Manent Aglianico (Sannio),$22, Southern Italy,90,Sannio,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2015,Terre Stregate
40,14%,"Riverland, South Australia, Australia",750 ml,Red, Australia,2/1/2019,"This exciting young producer delivers another highly drinkable drop. It comes in the form of this palatable pasta wine, which oozes brambly blackberry fruit, tobacco, dried herbs, chocolate and coffee. The palate is silky smooth and medium bodied, with a soft line of tannins and a spicy, savory finish.",The Bullet Dodger,Hudson Wine Brokers,Delinquente 2017 The Bullet Dodger Montepulciano (Riverland),$22, South Australia,90,Riverland,Christina Pickard,@winewchristina,,Not rated yet [Add Your Review],"Montepulciano, Italian Red",2017,Delinquente
41,13.5%,"Irpinia, Southern Italy, Italy",750 ml,Red, Italy,2/1/2019,"Earthy aromas of underbrush, tilled soil and dark fruit lead the nose. The juicy palate offers black cherry, star anise and white pepper alongside polished tannins and fresh acidity. Drink through 2024.",Magis,Kimera Wine Imports,Antico Castello 2014 Magis Aglianico (Irpinia),N/A, Southern Italy,89,Irpinia,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2014,Antico Castello
42,15.5%,"Aglianico del Taburno, Southern Italy, Italy",750 ml,Red, Italy,2/1/2019,"Aromas of black plum, tilled soil and cedar lead the nose. The dense palate delivers blackberry jam, black pepper, cocoa and star anise alongside chewy tannins and the warmth of evident alcohol.",Riserva,Wine Emporium,Fontanavecchia 2010 Riserva  (Aglianico del Taburno),$28, Southern Italy,89,Aglianico del Taburno,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2010,Fontanavecchia
43,15%,"Aglianico del Taburno, Southern Italy, Italy",750 ml,Red, Italy,2/1/2019,"Aromas of ripe dark fruit, cocoa and cedar emerge from the glass. The densely knit palate delivers blackberry jam, mocha and licorice alongside velvety tannins and evident alcohol.",Grave Mora Riserva,Wine Emporium,Fontanavecchia 2011 Grave Mora Riserva  (Aglianico del Taburno),$41, Southern Italy,89,Aglianico del Taburno,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2011,Fontanavecchia
44,14%,"Aglianico del Taburno, Southern Italy, Italy",750 ml,Red, Italy,2/1/2019,"Aromas of dark berry, blue flower and a whiff of charred earth lead the nose. The easygoing palate offers Marasca cherry, crushed raspberry and Mediterranean herb alongside pliant tannins.",,Wine Emporium,Fontanavecchia 2013  Aglianico del Taburno,$14, Southern Italy,89,Aglianico del Taburno,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2013,Fontanavecchia
45,13.5%,"Irpinia, Southern Italy, Italy",750 ml,Red, Italy,2/1/2019,"This opens with aromas of dark berry, underbrush and leather. The savory palate delivers blackberry jam, star anise and tobacco alongside fine-grained tannins.",,Alberello Imports,Tenuta Cavalier Pepe 2014 Aglianico (Irpinia),N/A, Southern Italy,89,Irpinia,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2014,Tenuta Cavalier Pepe
46,14%,"Isola dei Nuraghi, Sicily & Sardinia, Italy",750 ml,Red, Italy,2/1/2019,"This earthy red opens with aromas of leather, tilled soil, ripe black-skinned fruit and a whiff of barnyard. The aromas carry over to the juicy palate along with mature Marasca cherry, crushed black olive and dark spice. It has a rustic charm but it's also smooth and savory.",Essentija,Banville Wine Merchants,Pala 2014 Essentija Bovale (Isola dei Nuraghi),$30, Sicily & Sardinia,89,Isola dei Nuraghi,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Bovale, Italian Red",2014,Pala
47,14.5%,"Isola dei Nuraghi, Sicily & Sardinia, Italy",750 ml,Red, Italy,2/1/2019,"This Sardinian red offers aromas of ripe black-skinned fruit, myrtle, new leather and scorched earth. The firm palate evokes dried black cherry, coconut, grilled sage, roasted coffee bean and clove alongside close-grained tannins that leave a drying finish.",Korem,Leonardo LoCascio Selections–The Winebow Group,Argiolas 2015 Korem Bovale (Isola dei Nuraghi),$45, Sicily & Sardinia,89,Isola dei Nuraghi,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Bovale, Italian Red",2015,Argiolas
48,14%,"Irpinia, Southern Italy, Italy",750 ml,Red, Italy,2/1/2019,"Dark berry, espresso and cooking-spice aromas emerge from the glass. The savory ripe palate offers raspberry jam, raisin and vanilla alongside polished tannins.",Sairus,Nicola Biscardo Selections,Montesole 2013 Sairus Aglianico (Irpinia),$28, Southern Italy,89,Irpinia,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2013,Montesole
49,13%,"Monica di Sardegna, Sicily & Sardinia, Italy",750 ml,Red, Italy,2/1/2019,"Truffle, ripe blackberry and scorched earth aromas lift out of the glass. The aromas carry over to the medium-bodied easygoing palate along with mature black cherry, clove and Mediterranean brush. Lithe tannins provide soft support. Drink soon.",Ica,Wilson Daniels Ltd,Mora & Memo 2017 Ica  (Monica di Sardegna),$20, Sicily & Sardinia,89,Monica di Sardegna,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Monica, Italian Red",2017,Mora & Memo
50,14%,"Irpinia, Southern Italy, Italy",750 ml,Red, Italy,2/1/2019,"Aromas of tobacco, leather and ripe dark fruit lead the nose. The firm palate offers prune, clove and coconut alongside a backbone of assertive close-grained tannins that grip the finish.",Terra d'Eclano,Omniwines Distribution,Quintodecimo 2014 Terra d'Eclano Aglianico (Irpinia),$60, Southern Italy,89,Irpinia,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2014,Quintodecimo
51,13.5%,"Aglianico del Taburno, Southern Italy, Italy",750 ml,Red, Italy,2/1/2019,"Made with organically farmed grapes, this opens with aromas of dark-skinned berry, leather and tilled soil. The juicy palate offers blackberry, clove and black pepper alongside polished tannins.",,T. Edward Wines Ltd,Fattoria La Rivolta 2015  Aglianico del Taburno,$22, Southern Italy,89,Aglianico del Taburno,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2015,Fattoria La Rivolta
52,13%,"Campania, Southern Italy, Italy",750 ml,Red, Italy,2/1/2019,"Aromas of dark fruit, mocha and vanilla lead the nose. The firm palate offers raspberry jam, licorice and black pepper alongside close-grained tannins that grip the finish.",Core,Leonardo LoCascio Selections–The Winebow Group,Montevetrano 2015 Core Aglianico (Campania),$30, Southern Italy,89,Campania,Kerin O’Keefe,@kerinokeefe,,Not rated yet [Add Your Review],"Aglianico, Italian Red",2015,Montevetrano
