,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
10,14.5%,"Lodi, Central Valley, California, US",750 ml,Red, US,6/1/2019,"This big bad wine attacks from all points of the compass, starting with an inky color and smoky peppery singed herb aromas and followed by bold blackberry, unsweetened cocoa and espresso flavors that are up to the task of balancing the formidable fine-grained tannins. Expressive, complex oak influences like cedar, tobacco and cumin continue across the palate, lingering on the finish. Best after 2025.",,,Thomas Allen 2016 Petite Sirah (Lodi),$25, California,92, Central Valley,Jim Gordon,@gordone_cellars,Lodi,Not rated yet [Add Your Review],Petite Sirah,2016,Thomas Allen
11,14.8%,"Alexander Valley, Sonoma, California, US",750 ml,Red, US,6/1/2019,"This well-made wine tastes of blueberry pie and lavender—its style big in tannin and ripe oak, yet bright in acidity. Integrated and softly textured, it has a freshness to the finish that invites and impresses.",La Storia,,Trentadue 2016 La Storia Petite Sirah (Alexander Valley),$34, California,91, Sonoma,Virginie Boone,@vboone,Alexander Valley,Not rated yet [Add Your Review],Petite Sirah,2016,Trentadue
12,14.5%,"Clarksburg, Central Valley, California, US",750 ml,Red, US,6/1/2019,"From one of the coolest spots in the Central Valley, this huge but supple wine tames the varietal's bold tannins with plenty of lush flavors of black cherry and blackberry. It is full in weight, with thick but smooth tannins and a compelling jammy richness that makes it easy to appreciate. Best through 2025.",Pets,,Vinum Cellars 2016 Pets Petite Sirah (Clarksburg),$15, California,91, Central Valley,Jim Gordon,@gordone_cellars,Clarksburg,Not rated yet [Add Your Review],Petite Sirah,2016,Vinum Cellars
13,14.2%,"Clarksburg, Central Valley, California, US",750 ml,Red, US,6/1/2019,"You won't have to wait years to enjoy this full-bodied wine. It finds good balance on a high plane of jammy fruit, fine tannins and moderate oak spices. The famously astringent texture of the varietal is soothed by plump blackberry and boysenberry flavors that coat the palate and linger on the finish.",Lake Family,,Spann Vineyards 2016 Lake Family Petite Sirah (Clarksburg),$28, California,91, Central Valley,Jim Gordon,@gordone_cellars,Clarksburg,Not rated yet [Add Your Review],Petite Sirah,2016,Spann Vineyards
14,14.6%,"Mendocino County, Mendocino County, California, US",750 ml,Red, US,6/1/2019,"This full-bodied wine has a dark brooding color and a profusion of plump, dense blueberry and blackberry aromas that complement cocoa and boysenberry on the palate. Encased in thick, luxurious tannins, the flavors persist nicely on the finish. Best after 2024.",Family Reserve Open Hand,,McNab Ridge 2016 Family Reserve Open Hand Petite Sirah (Mendocino County),$30, California,91, Mendocino County,Jim Gordon,@gordone_cellars,Mendocino County,Not rated yet [Add Your Review],Petite Sirah,2016,McNab Ridge
15,15%,"Suisun Valley, North Coast, California, US",750 ml,Red, US,6/1/2019,"Deep in color and potent in aromas, this full-bodied and firmly tannic wine shows complex cedar, tobacco and violet aromas, has a good core of blackberries and black plums and a mouthcoating texture. With more complexity and layering than most, it's a good candidate for the cellar. Enjoy best after 2024.",Cassie,,Vezer Family Vineyard 2014 Cassie Petite Sirah (Suisun Valley),$49, California,91, North Coast,Jim Gordon,@gordone_cellars,Suisun Valley,Not rated yet [Add Your Review],Petite Sirah,2014,Vezer Family Vineyard
16,13.9%,"Livermore Valley, Central Coast, California, US",750 ml,Red, US,6/1/2019,"A light dusty toasty aroma leads to much deeper darker fruit aromas and flavors in this big robust tannic, yet polished wine. It has a full body, a firm, gripping mouthfeel and enough generous ripe blackberry and boysenberry flavors to fill out the big frame.",Estate,,Las Positas 2016 Estate Petite Sirah (Livermore Valley),$35, California,90, Central Coast,Jim Gordon,@gordone_cellars,Livermore Valley,Not rated yet [Add Your Review],Petite Sirah,2016,Las Positas
17,15.2%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,6/1/2019,"Opaque in the glass, this bottling, (whose beautiful butterfly-woman label features one of the winery's newer sculptures), offers black-currant, milk-chocolate and coffee-syrup aromas on the nose. It's rich, thick and pleasant on the palate with chalky tension that delivers flavors of caramelized black fruits.",Estate,,Sculpterra 2014 Estate Petite Sirah (Paso Robles),$50, California,90, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles,Not rated yet [Add Your Review],Petite Sirah,2014,Sculpterra
18,14.5%,"Mendocino, Mendocino County, California, US",750 ml,Red, US,6/1/2019,"This staunch, tannic and concentrated wine is wound up tight and will need years to put its best foot forward. The color is inky dark, the aromas and flavors are closed in lightly smoky and peppery tones. There's rich dark fruit underneath, but it's almost unaccessible at this point. It will be best consumed after 2026.",True Grit Reserve,,Parducci 2016 True Grit Reserve Petite Sirah (Mendocino),$25, California,90, Mendocino County,Jim Gordon,@gordone_cellars,Mendocino,Not rated yet [Add Your Review],Petite Sirah,2016,Parducci
19,14.9%,"Russian River Valley, Sonoma, California, US",750 ml,Red, US,6/1/2019,"This wine has a strong aroma and subsequent flavor of espresso bean, contrasted well against softer elements of lavender. Burly black fruit meets oak and chalky substantial tannin weight, finishing in a swirl of grilled meat and black pepper.",Gianna's Block,,Foppiano 2015 Gianna's Block Petite Sirah (Russian River Valley),N/A, California,90, Sonoma,Virginie Boone,@vboone,Russian River Valley,Not rated yet [Add Your Review],Petite Sirah,2015,Foppiano
20,15.1%,"Dry Creek Valley, Sonoma, California, US",750 ml,Red, US,6/1/2019,"A hit of turned earth opens the proceedings of this well-made wine, which is velvety on the palate with a back note of grit and tannin. Cherry, plum and a floral underbelly of violet give it a lasting brightness that contrasts well against the powerful ripeness of the fruit.",Reserve,,Hawley 2016 Reserve Petite Sirah (Dry Creek Valley),$40, California,90, Sonoma,Virginie Boone,@vboone,Dry Creek Valley,Not rated yet [Add Your Review],Petite Sirah,2016,Hawley
21,15.8%,"Napa Valley, Napa, California, US",750 ml,Red, US,6/1/2019,"This is a boldly rich, ripe and robust rendition of the variety, thick and concentrated in graham cracker and blueberry cobbler. Still, it appeals in its voluptuousness, finishing in a lasting note of coffee and violet.",Thomann Station,,Louis M. Martini 2016 Thomann Station Petite Sirah (Napa Valley),$55, California,90, Napa,Virginie Boone,@vboone,Napa Valley,Not rated yet [Add Your Review],Petite Sirah,2016,Louis M. Martini
22,14.8%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,6/1/2019,"This bottling, which includes 11% Syrah and 1% Viognier, is a bit reductive at first, showing charred beef, tar and Concord grape aromas. The palate combines roasted meats with black-currant-jelly flavors that emerge through the asphalt character with patience.",The Stand,,Tooth and Nail 2016 The Stand Petite Sirah (Paso Robles),$25, California,88, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles,Not rated yet [Add Your Review],Petite Sirah,2016,Tooth and Nail
23,13.2%,"Lodi, Central Valley, California, US",750 ml,Red, US,6/1/2019,"This wine is powerful, medium to full bodied and monolithic in character. It has an intensely deep color, restrained but ripe aromas and a blend of black-fruit and black-pepper flavors that hardly peak through a very grippy texture due to fine layers of tannins. Best after 2025.",Estate Grown,,Grady Family Vineyards 2016 Estate Grown Petite Sirah (Lodi),$16, California,88, Central Valley,Jim Gordon,@gordone_cellars,Lodi,Not rated yet [Add Your Review],Petite Sirah,2016,Grady Family Vineyards
24,14.7%,"Napa Valley, Napa, California, US",750 ml,Red, US,6/1/2019,"A 100% varietal wine, this is a thick rich showing of cherry and vanilla that's intensely earthy in contrast—a mix of turned earth and violet. Integrated, bright and powerful, it holds its tannins in check and allows only a supportive role for the oak.",Versada,,Jamieson Ranch 2016 Versada Petite Sirah (Napa Valley),$65, California,88, Napa,Virginie Boone,@vboone,Napa Valley,Not rated yet [Add Your Review],Petite Sirah,2016,Jamieson Ranch
25,15.6%,"Dry Creek Valley, Sonoma, California, US",750 ml,Red, US,6/1/2019,"This is a syrupy thick expression of the variety, ripe as they come, with big, bold and tannic flavors of graham cracker and blueberry jam. The rich fruit-forward nature of the wine delivers a hit of espresso as it finishes.",,,Kokomo 2016 Petite Sirah (Dry Creek Valley),$32, California,88, Sonoma,Virginie Boone,@vboone,Dry Creek Valley,Not rated yet [Add Your Review],Petite Sirah,2016,Kokomo
26,14.9%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,6/1/2019,"Opaque in the glass, this bottling is very concentrated on the nose with extracted aromas of blackberry and black plum, leaning toward prune. There's a flash of acid and hint of violet at the tip of the sip, and then the flavors move into potpourri and light blackberry.",,,Écluse 2016 Petite Sirah (Paso Robles),$42, California,88, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles,Not rated yet [Add Your Review],Petite Sirah,2016,Écluse
27,14.9%,"Russian River Valley, Sonoma, California, US",750 ml,Red, US,6/1/2019,"Dusty dark chocolate and blueberry jam form the center of this rich full-bodied wine, that is thick and gritty in approach. Raisiny leather and meaty black pepper follow the concentrated fruit into a whirlwind of bold ripeness.",,,Foppiano 2015 Petite Sirah (Russian River Valley),N/A, California,87, Sonoma,Virginie Boone,@vboone,Russian River Valley,Not rated yet [Add Your Review],Petite Sirah,2015,Foppiano
28,14.5%,"Napa Valley, Napa, California, US",750 ml,Red, US,6/1/2019,"There's bright, underlying acidity beneath this otherwise bold and flavorful wine, a mix of dried cherry, pepper and coffee that's soft and satisfying on the palate.",,,Girard 2015 Petite Sirah (Napa Valley),$30, California,87, Napa,Virginie Boone,@vboone,Napa Valley,Not rated yet [Add Your Review],Petite Sirah,2015,Girard
29,13.2%,"Columbia Valley (OR), Oregon Other, Oregon, US",750 ml,Red, US,6/1/2019,"There's no question of the warm vintage that this wine comes from, with its aromas of black fruit, herb and anise. Jammy cranberry and cherry flavors follow, ending with a tart finish.",,,Hood Crest 2016 Petite Sirah (Columbia Valley (OR)),$42, Oregon,87, Oregon Other,Sean P. Sullivan,@wawinereport,Columbia Valley (OR),Not rated yet [Add Your Review],Petite Sirah,2016,Hood Crest
30,13.8%,"Sierra Foothills, Sierra Foothills, California, US",750 ml,Red, US,6/1/2019,"This wine is true to type, packed with dark-fruit flavors and girded with massive fine-grained tannins that keep most of that fruit in check. The wine is full bodied but tight and restrained, probably needing several years to reach its peak. Best after 2023.",,,Mabera 2015 Petite Sirah (Sierra Foothills),$21, California,87, Sierra Foothills,Jim Gordon,@gordone_cellars,Sierra Foothills,Not rated yet [Add Your Review],Petite Sirah,2015,Mabera
31,41%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,6/1/2019,"Charred grape seed, prune, raisin and caramel-fudge aromas show on the very extracted nose of this bottling, which was aged in Bourbon barrels. The palate offers stewed fruits against a vanilla and caramel backdrop.",Fire Spirt Bourbon Barrel Aged,,Bushong 2016 Fire Spirt Bourbon Barrel Aged Petite Sirah (Paso Robles),$41, California,85, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles,Not rated yet [Add Your Review],Petite Sirah,2016,Bushong
32,15.5%,"Sonoma Valley, Sonoma, California, US",750 ml,Red, US,6/1/2019,"A 100% varietal wine aged in French and Hungarian oak, this is earthy in truffle and thick layers of black pepper and currant. The texture is rough and gritty, the tannins still developing in unapologetic power.",,,Gehricke 2016 Petite Sirah (Sonoma Valley),$30, California,85, Sonoma,Virginie Boone,@vboone,Sonoma Valley,Not rated yet [Add Your Review],Petite Sirah,2016,Gehricke
33,14.2%,"Knights Valley, Sonoma, California, US",750 ml,Red, US,6/1/2019,"This wine is thick in impenetrable tannins and reduced oak, taking on a distinct earthiness that is hard to enjoy.",Betsy's Vineyard,,Lawer 2015 Betsy's Vineyard Petite Sirah (Knights Valley),$30, California,83, Sonoma,Virginie Boone,@vboone,Knights Valley,Not rated yet [Add Your Review],Petite Sirah,2015,Lawer
34,14.5%,"Sierra Foothills, Sierra Foothills, California, US",750 ml,Red, US,5/1/2019,"This ageworthy wine is huge, dense and concentrated, wrapping a thick layer of fine-grained tannins around plump blueberry and blackberry flavors while spicy oak shadings add some complexity and seem to offset the tannic effect. It is showy and delicious now but will drink best after 2023.",Estate,,Naggiar 2017 Estate Petite Sirah (Sierra Foothills),$29, California,93, Sierra Foothills,Jim Gordon,@gordone_cellars,Sierra Foothills,Not rated yet [Add Your Review],Petite Sirah,2017,Naggiar
35,15%,"Amador County, Sierra Foothills, California, US",750 ml,Red, US,5/1/2019,"A wonderful profusion of opulent fruit aromas and flavors give this full-bodied wine a big delicious profile. It oozes blackberry, Concord grape and blueberry notes that fill the mouth with ripeness and stand up nicely to the wine's firm, thick tannin structure. Best through 2024.",,,Renwood 2016 Petite Sirah (Amador County),$50, California,93, Sierra Foothills,Jim Gordon,@gordone_cellars,Amador County,Not rated yet [Add Your Review],Petite Sirah,2016,Renwood
36,15%,"North Coast, North Coast, California, US",750 ml,Red, US,5/1/2019,This deeply colored and luxuriously flavored wine is brawny but well behaved. It combines luscious blackberry-jam aromas with dark-chocolate and black-cherry flavors and surrounds them with a thick but soft coat of tannins for a velvety texture. Enjoyable now through 2029.,,,V. Sattui 2016 Petite Sirah (North Coast),$45, California,93, North Coast,Jim Gordon,@gordone_cellars,North Coast,Not rated yet [Add Your Review],Petite Sirah,2016,V. Sattui
37,15%,"Clarksburg, Central Valley, California, US",750 ml,Red, US,5/1/2019,This is a beautifully polished but massive wine from a winery known for decades for its excellent Petite Sirah. It is packed with blackberry and blueberry flavors and lavishly spiced with new oak. Dark chocolate and maple nuances emerge on the palate as dense but soft tannins thicken the mouthfeel. Best now through 2029.,50 Years Quick Ranch Reserve,,Bogle NV 50 Years Quick Ranch Reserve Petite Sirah (Clarksburg),$42, California,93, Central Valley,Jim Gordon,@gordone_cellars,Clarksburg,Not rated yet [Add Your Review],Petite Sirah,,Bogle
38,14.5%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,5/1/2019,"Broad aromas of blackberry and soy sauce meet with lilacs and violets on the nose of this bottling. The smooth palate offers flavors of black currant and purple flowers that evolve into white pepper, all cleaned up by refreshing acidity.",Estate Reserve,,San Simeon 2015 Estate Reserve Petite Sirah (Paso Robles),$28, California,92, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles,Not rated yet [Add Your Review],Petite Sirah,2015,San Simeon
39,13.5%,"Lodi, Central Valley, California, US",750 ml,Red, US,5/1/2019,"Intense and focused fruit flavors seem to light up this full-bodied, densely packed wine. It also shows generous and well-integrated oak shadings of cinnamon, nutmeg and vanilla that sit on mouthcoating berry flavors and are framed by fine-grained tannins.",,,Ironstone 2016 Petite Sirah (Lodi),$14, California,91, Central Valley,Jim Gordon,@gordone_cellars,Lodi,Not rated yet [Add Your Review],Petite Sirah,2016,Ironstone
40,14.8%,"Yorkville Highlands, North Coast, California, US",750 ml,Red, US,5/1/2019,"This full-bodied wine adds smoky oaky peppery flavors to the grape variety's natural black-fruit and tannin combo for a rowdy, beefy personality that rivals a savory Syrah. The tannins feel tight, however, and the wine needs time to mellow. Best after 2024.",Estate Grown,,Theopolis 2016 Estate Grown Petite Sirah (Yorkville Highlands),$39, California,91, North Coast,Jim Gordon,@gordone_cellars,Yorkville Highlands,Not rated yet [Add Your Review],Petite Sirah,2016,Theopolis
41,15.9%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,5/1/2019,"Black pepper, tar and elderberry flavors show on the nose of this single-vineyard expression, which needs a touch of time to blow off its reductive qualities right now. Once it does, flavors of elderberry jam, black currant and pleasing leather emerge alongside firm structure and decent acidity.",Gemeny Vineyards,,MCV 2016 Gemeny Vineyards Petite Sirah (Paso Robles),$52, California,91, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles,Not rated yet [Add Your Review],Petite Sirah,2016,MCV
42,14.5%,"Sierra Foothills, Sierra Foothills, California, US",750 ml,Red, US,5/1/2019,"This full-bodied wine is dark in color, peppery in aroma and ripe and jammy in flavor. It has plenty of the grape variety's famous tannins to make the texture grippy. While not fancy or ambitious, this is a solid, well-structured wine that will improve with time. Best after 2024.",Raymond's Rows,,Langman Estate 2016 Raymond's Rows Petite Sirah (Sierra Foothills),$36, California,89, Sierra Foothills,Jim Gordon,@gordone_cellars,Sierra Foothills,Not rated yet [Add Your Review],Petite Sirah,2016,Langman Estate
43,13.9%,"Dunnigan Hills, Central Valley, California, US",750 ml,Red, US,5/1/2019,"This is a well-structured, ageworthy red wine that surrounds ripe lush blackberry and maple flavors with fine-grained tannins and full body. It is big and bold on the palate and will show its best stuff with a juicy chop or steak. Best after 2024.",Estate Bottled,,Matchbook 2016 Estate Bottled Petite Sirah (Dunnigan Hills),$17, California,89, Central Valley,Jim Gordon,@gordone_cellars,Dunnigan Hills,Not rated yet [Add Your Review],Petite Sirah,2016,Matchbook
44,14.27%,"Paicines, Central Coast, California, US",750 ml,Red, US,5/1/2019,"Extracted aromas of blackberry reduction, elderberry jam, grape seed, roasted beef and hoisin show on the nose of this bottling. There is ample peppery spice on the sip, alongside cooked berries, with an acid wash on the finish.",Pedregal Vineyard,,Puma Road 2014 Pedregal Vineyard Petite Sirah (Paicines),$55, California,89, Central Coast,Matt Kettmann,@mattkettmann,Paicines,Not rated yet [Add Your Review],Petite Sirah,2014,Puma Road
45,13%,"San Diego County, South Coast, California, US",750 ml,Red, US,5/1/2019,"Quite light for a Petite Sirah, this bottling shows aromas of baked strawberry and black plum with hints of toasted wood and tar. Sour black-plum-skin and purple-flower flavors arise on the thinner palate.",,,Hungry Hawk 2016 Petite Sirah (San Diego County),$50, California,87, South Coast,Matt Kettmann,@mattkettmann,San Diego County,Not rated yet [Add Your Review],Petite Sirah,2016,Hungry Hawk
46,13.5%,"California, California Other, California, US",750 ml,Red, US,5/1/2019,"Aromas of smoke and rubber dominate on the nose of this rich and full-bodied wine. It has an earthy streak on the palate, too, but it has a fruit core that makes it enjoyable nonetheless.",,,McManis 2017 Petite Sirah (California),$10, California,86, California Other,Jim Gordon,@gordone_cellars,California,Not rated yet [Add Your Review],Petite Sirah,2017,McManis
47,15.2%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,4/1/2019,"Matt Villard is forging a path worth following with his single-vineyard Petite Sirahs, and this bottling is a strong example of why. Deep and dark in the glass, it shows aromas of concentrated blueberry, violet and lavender. Mouthcoating tannins consume the palate, but are soft enough to let unique flavors of pepper-spiced cassis shine through, as acid rises strongly into the finish.",Rosewynn Vineyard,,MCV 2016 Rosewynn Vineyard Petite Sirah (Paso Robles),$52, California,93, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles,Not rated yet [Add Your Review],Petite Sirah,2016,MCV
48,15.7%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,4/1/2019,"Charred blackberry, cassis, black cherry and appealing smoke aromas emerge with power from the nose of this bottling. The palate is full of savory, meaty charcoal flavors, showing roasted black cherry along with a rich creamy mouthfeel.",,,Ultima Tulie 2016 Petite Sirah (Paso Robles),$47, California,93, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles,Not rated yet [Add Your Review],Petite Sirah,2016,Ultima Tulie
49,14%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,4/1/2019,"The Beckett brothers deliver a wine that starts with aromas of concentrated blackberry jam, toasted wood, plum and violet. The palate is floral and fresh, with penetrating flavors of blueberry sorbet that rest against a strong tannic structure.",Suite Petite,,Chronic Cellars 2017 Suite Petite Petite Sirah (Paso Robles),$15, California,91, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles,Not rated yet [Add Your Review],Petite Sirah,2017,Chronic Cellars
50,14.8%,"Rockpile, Sonoma, California, US",750 ml,Red, US,4/1/2019,"Spicy red fruit takes on the tartness of cranberry and orange in this well-made, well-structured wine from the great winemaker. Varietal in its touch of white pepper and clove, it is powerful with firm integrated tannins.",Rockpile Vineyard,,Carol Shelton 2014 Rockpile Vineyard Petite Sirah (Rockpile),$40, California,91, Sonoma,Virginie Boone,@vboone,Rockpile,Not rated yet [Add Your Review],Petite Sirah,2014,Carol Shelton
51,14.7%,"Russian River Valley, Sonoma, California, US",750 ml,Red, US,4/1/2019,"A bold reflection of the grape's inherent heartiness, this imparts softly robust and spicy layers of licorice, lavender and baked fruit compote. It holds its weight and ripeness well, with plenty of plushness on the palate.",,,Ektimo Vineyards 2015 Petite Sirah (Russian River Valley),$32, California,90, Sonoma,Virginie Boone,@vboone,Russian River Valley,Not rated yet [Add Your Review],Petite Sirah,2015,Ektimo Vineyards
52,14.8%,"Napa Valley, Napa, California, US",750 ml,Red, US,4/1/2019,"From the producer's Pope Valley estate vineyard, and made in minuscule amounts, this shines in a flair of sauvage earthiness, with thick, juicy and superripe flavors of robust red cherry, currant and plum. Strong and powerfully concentrated, it shows balance and good bones.",Estate Grown,,Gratus 2015 Estate Grown Petite Sirah (Napa Valley),$45, California,90, Napa,Virginie Boone,@vboone,Napa Valley,Not rated yet [Add Your Review],Petite Sirah,2015,Gratus
53,15%,"Napa Valley, Napa, California, US",750 ml,Red, US,4/1/2019,"This is 100% varietal and supremely earthy, a mix of turned earth, grilled mushroom and lavender. Made in a big bold style, the tannins are robust yet polished, with a sultry smoothness on the palate. Baked blueberry and blackberry mingle effortlessly.",Palisades Vineyard,,Carlisle 2016 Palisades Vineyard Petite Sirah (Napa Valley),$50, California,90, Napa,Virginie Boone,@vboone,Napa Valley,Not rated yet [Add Your Review],Petite Sirah,2016,Carlisle
54,15.4%,"Santa Clara Valley, Central Coast, California, US",750 ml,Red, US,4/1/2019,"Peppercorn and black fruits gain some violet aromatics on the floral but intense nose of this bottling. It's thick and a bit stiff on the palate, where concentrated black-plum flavors and cracked pepper converge.",Blessings,,Aver Family Vineyards 2015 Blessings Petite Sirah (Santa Clara Valley),$60, California,89, Central Coast,Matt Kettmann,@mattkettmann,Santa Clara Valley,Not rated yet [Add Your Review],Petite Sirah,2015,Aver Family Vineyards
55,14.8%,"Napa Valley, Napa, California, US",750 ml,Red, US,4/1/2019,"Tar and oak accent this thick, tannic and intense red, 100% varietal and well made to showcase the fruit. Blackberry and jammy blackberry flavors are densely packed, with the wine finishing soft and round.",,,Clif Family 2016 Petite Sirah (Napa Valley),$45, California,89, Napa,Virginie Boone,@vboone,Napa Valley,Not rated yet [Add Your Review],Petite Sirah,2016,Clif Family
56,14.9%,"Spring Mountain District, Napa, California, US",750 ml,Red, US,4/1/2019,"Made entirely from one variety, this is a showcase for the grape—a soft, robust and undeniably dense layering of full-bodied leather, blueberry and baked plum. Thick and rich, it shows moderate complexity and structure.",,,Terra Valentine 2015 Petite Sirah (Spring Mountain District),$60, California,88, Napa,Virginie Boone,@vboone,Spring Mountain District,Not rated yet [Add Your Review],Petite Sirah,2015,Terra Valentine
