,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
20,13.50%,"Cahors, Southwest France, France",750 ml,Red, France,6/1/2019,"This chateau, well placed among the best vineyards in Cahors, has produced a solidly tannic wine that also has great black fruits. It is young, not quite balanced between fruit and structure. But it has potential and will be all ready to go from 2022.",Malbec,Aquitaine Wine Company,Château du Caillou 2017 Malbec Malbec (Cahors),$16 , Southwest France,88,Cahors,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Malbec,2017,Château du Caillou
21,13.50%,"Cahors, Southwest France, France",750 ml,Red, France,6/1/2019,"This wine is pure Malbec, but it shows the grape in its fruity rather than structured guise. It is full of juicy berry flavors, laced with acidity and with tannins that comes from the perfumed fruits. Drink the wine now.",Malbec du Clos,Vineyard Brands,Jean-Luc Baldès 2016 Malbec du Clos Malbec (Cahors),$17 , Southwest France,88,Cahors,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Malbec,2016,Jean-Luc Baldès
22,14%,"Cahors, Southwest France, France",750 ml,Red, France,6/1/2019,"This dense wine is about fruit and tannins rather than any obvious wood aging. Bold blackberry flavors are full, structured with tannins and with the potential to mature into a rich wine. Drink from 2020.",Margaux & Company,Tri-Vin Imports,Domaine de Cause 2016 Margaux & Company Malbec (Cahors),$18 , Southwest France,88,Cahors,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Malbec,2016,Domaine de Cause
23,14.70%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,6/1/2019,"The aromas intrigue, with notes of matchstick, dark fruit and tar. The flavors coat the palate from end to end, with a soft, pillowy feel. Lightly grainy tannins back it all up, finishing warm.",,,Dusted Valley 2015 Malbec (Columbia Valley (WA)),$44 , Washington,88, Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Valley (WA),Not rated yet [Add Your Review],Malbec,2015,Dusted Valley
24,14.50%,"Côtes de Bourg, Bordeaux, France",750 ml,Red, France,6/1/2019,"Malbec has always been planted in this appellation, and to judge by this wine, it thrives. Big and bold, this is packed with black fruits and tannins and moving firmly to richness. Drink this wine from 2020.",Malbec 100%,Petit Pois,Château Martinat 2016 Malbec 100%  (Côtes de Bourg),N/A, Bordeaux,87,Côtes de Bourg,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Malbec,2016,Château Martinat
25,12.50%,"Vin de France, France Other, France",750 ml,Red, France,6/1/2019,"This is an easygoing, ripe wine, the softest view of Malbec. It emphasizes black fruits, perfumed acidity and a lightly tannic, juicy aftertaste. Drink the wine now.",Villa la Réserve,"Vintage Imports, Inc",Lionel Osmin & Cie 2017 Villa la Réserve Malbec (Vin de France),$10 , France Other,87,Vin de France,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Malbec,2017,Lionel Osmin & Cie
26,13.50%,"Cahors, Southwest France, France",750 ml,Red, France,6/1/2019,"A fresh, fruity wine with juicy black-currant flavors and a smoky, spicy edge, this is bright and succulent. Black fruits are shot through with still-young acidity and the wine needs to age. Drink from 2020.",Tradition Malbec,Tri-Vin Imports,Domaine de Cause 2016 Tradition Malbec Malbec (Cahors),$16 , Southwest France,86,Cahors,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Malbec,2016,Domaine de Cause
27,12.50%,"Comté Tolosan, Southwest France, France",750 ml,Red, France,6/1/2019,"This light take on Malbec is fresh with red fruits and soft tannins. With plenty of bright acidity, the wine is crisp and ready to drink.",Pyrène L'Irrésistible Magie Noire,"Vintage Imports, Inc",Lionel Osmin & Cie 2017 Pyrène L'Irrésistible Magie Noire Malbec (Comté Tolosan),$9 , Southwest France,86,Comté Tolosan,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Malbec,2017,Lionel Osmin & Cie
28,13%,"Cahors, Southwest France, France",750 ml,Red, France,6/1/2019,"Mature and perfumed, this wine has tannins that are still dry and likely to remain so. Its structure is firm while the black fruits are beginning to fade. Drink the wine now.",Rossignol,Petit Vin,Domaine du Prince 2013 Rossignol Malbec (Cahors),$24 , Southwest France,85,Cahors,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Malbec,2013,Domaine du Prince
29,14.50%,"Canelones, Uruguay",750 ml,Red, Uruguay,6/1/2019,"Heavy oak on the nose results in creamy aromas of chocolate and lactic vanilla. A thick palate is grabby and a bit flabby and cloying. Oaky flavors of campfire snuff out this Malbec's fruit, while the finish feels sticky and tastes woody.",Maxima Expresión Del Terroir Alta Reserva Las Brujas,"Vidalco International, LLC",Gimenez Mendez 2017 Maxima Expresión Del Terroir Alta Reserva Las Brujas Malbec (Canelones),N/A,Canelones,84,,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],Malbec,2017,Gimenez Mendez
30,14.80%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,5/1/2019,"This wine comes from Northridge Vineyard, one of the state's premier vineyards. Blended with 23% Cabernet Sauvignon, vibrant aromas of ripe plum, licorice, dried herb and baking spice lead to full-bodied, well-balanced fruit flavors that carry on the finish. There's great enjoyment overall, and the tannic structure helps give a sense of gravitas.",C2,,Charles & Charles 2015 C2 Malbec (Columbia Valley (WA)),$45 , Washington,92, Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Valley (WA),Not rated yet [Add Your Review],Malbec,2015,Charles & Charles
31,14%,"Maule Valley, Chile",750 ml,Red, Chile,5/1/2019,"It has taken Alta Vista a few years to get this Maule Valley Malbec right, but this rendition is on the mark. A saturated black color and jammy aromas of blackberry, minerals, licorice root and raisin lead to a fleshy palate that's a touch loose in structure, with tannic backing. Toasty oak, herbal blackberry and gamy flavors are complex, while ripe berry and oak flavors offset a minty green note on the finish. Drink through 2023.",Single Vineyard Constanza,Kobrand,Altamana 2015 Single Vineyard Constanza Malbec (Maule Valley),$46 ,Maule Valley,91,,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],Malbec,2015,Altamana
32,13.50%,"Maule Valley, Chile",750 ml,Red, Chile,5/1/2019,"Ripe, slightly desiccated aromas of prune, raisin and blackberry include a horsey note. A full-bodied palate weighs in as mildly flabby and heavy, while dark, charred berry and toast flavors are blackened. On the finish, chalky dryness lends focus to an otherwise ripe finish. Drink through 2023.",Grande Reserve,Kobrand,Altamana 2015 Grande Reserve Malbec (Maule Valley),$18 ,Maule Valley,90,,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],Malbec,2015,Altamana
33,14.30%,"Idaho, US",750 ml,Red, US,5/1/2019,"This wine is sourced from Parma Extension, Sawtooth and Williamson's vineyards. Fruit tones are at the fore, with aromas of blueberry pie and plum, along with spice and herb accents. Medium-bodied blue-fruit flavors follow on the palate. It shows a lot of finesse and detail, with an appealing sense of purity and balance.",,,Huston 2016 Malbec,$29 ,Idaho,89,,Sean P. Sullivan,@wawinereport,,Not rated yet [Add Your Review],Malbec,2016,Huston
34,13.50%,"Central Valley, Chile",750 ml,Red, Chile,5/1/2019,"This mature Malbec from a cool vintage offers concentrated, meaty aromas of black fruits, iodine, black olive, herbs and minerals. In the mouth, this is a bit scratchy and tartaric. Flavors of blackberry and stewed plum are short and a touch salty, while this feels chewy, full and a bit sticky on the finish. Drink through 2022.",1492,Empress International,Galan 2013 1492 Malbec (Central Valley),$19 ,Central Valley,89,,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],Malbec,2013,Galan
35,13%,"Touraine, Loire Valley, France",750 ml,Red, France,5/1/2019,"A blend of 90% Malbec and Cabernet Franc, this wine has plenty of red fruits that have acidity and brightness. Its texture is soft and balanced with fruit and gentle tannins in harmony. Drink from late 2019.",Emotion,USA Wine West,Domaine Gibault 2017 Emotion Malbec (Touraine),$9 , Loire Valley,88,Touraine,Roger Voss,@vossroger,,Not rated yet [Add Your Review],Malbec,2017,Domaine Gibault
36,14.90%,"Elqui Valley, Chile",750 ml,Red, Chile,5/1/2019,"Jammy blackberry and blueberry aromas come with funky Elqui notes of cardamom and Middle Eastern spices. On the palate, this is acidic and choppy at first, then smoother. Herb-infused black fruit flavors are grassy and atypical for Malbec, while this feels wide and grapy on the finish.",Limited Release,Elixir Wine Group,Elqui Wines 2015 Limited Release Malbec (Elqui Valley),$25 ,Elqui Valley,86,,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],Malbec,2015,Elqui Wines
37,13.50%,"Colchagua Valley, Chile",750 ml,Red, Chile,5/1/2019,"An herbaceous nose includes aromas of green tobacco, eucalyptus, olive and road tar. The palate on this Malbec is tight, pulling and tannic, while the flavor profile sticks to peppery and green, with just a hint of berry fruit.",La Finca Clos d'Angel,Kobrand,Montes 2015 La Finca Clos d'Angel Malbec (Colchagua Valley),$23 ,Colchagua Valley,84,,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],Malbec,2015,Montes
38,13.80%,"Israel, Israel",750 ml,Red, Israel,4/1/2019,"This wine has a nose of blackberry and green pepper. It has flavors of black cherry, strawberry, pomegranate, smoked meat and clove. Tannins can feel a bit stiff at first, but strong acidity overcomes that sensation, leading to a long, smooth finish.",Adi 13,"Allied Importers, USA, Ltd",Hacormim 2017 Adi 13 Malbec (Israel),$10 ,Israel,88,,Mike DeSimone,@worldwineguys,,Not rated yet [Add Your Review],Malbec,2017,Hacormim
39,13.20%,"Grand Valley, Colorado, US",750 ml,Red, US,4/1/2019,"A black plum aroma carries the nose, coddled by notes of sarsaparilla and white pepper. The polished palate leans on bright acidity to keep the red plum, raspberry and cherry flavors tasting fresh, while tannins tickle the tip of the tongue. Ripe blackberry makes an appearance on the finish, lingering pleasantly with tart acidity.",,,The Infinite Monkey Theorem 2017 Malbec (Grand Valley),$25 , Colorado,88,Grand Valley,Fiona Adams,@bkfiona,,Not rated yet [Add Your Review],Malbec,2017,The Infinite Monkey Theorem
40,13.60%,"Colorado, Colorado, US",750 ml,Red, US,4/1/2019,"Aromas of cassis and black plum are backed by frankincense and creosote on a nose. On the palate, blackberry, baking spice and tobacco blend seamlessly together on a bed of fine, sandy tannins. The acidity keeps things light and food friendly, making this perfect for weeknight dinners.",Reserve,,BookCliff 2016 Reserve Malbec (Colorado),$25 , Colorado,87,Colorado,Fiona Adams,@bkfiona,,Not rated yet [Add Your Review],Malbec,2016,BookCliff
41,14.30%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,4/1/2019,"Fruit for this wine comes from one of the state's top Malbec vineyards. The aromas are brooding, with notes of blackberry, baking spice and herb, with the fruit seeming dried out. Full-bodied fruit flavors follow.",Gamache Vineyard,,Plumb Cellars 2015 Gamache Vineyard Malbec (Columbia Valley (WA)),$42 , Washington,87, Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Valley (WA),Not rated yet [Add Your Review],Malbec,2015,Plumb Cellars
42,13.90%,"Grand Valley, Colorado, US",750 ml,Red, US,4/1/2019,"Vanilla, sweet baking spice and cream soda lead the nose, joined by aromas of raw rhubarb and bell pepper. A cozy combination of flavors bring together ripe raspberry, red plum, vanilla and allspice. The tannins are powdery in feel, mingling with mouthwatering acidity that adds tang. Cherry and tobacco flavors smother a little heat on the  finish.",,,Continental Divide 2017 Malbec (Grand Valley),$37 , Colorado,85,Grand Valley,Fiona Adams,@bkfiona,,Not rated yet [Add Your Review],Malbec,2017,Continental Divide
43,14.80%,"Napa Valley, Napa, California, US",750 ml,Red, US,3/1/2019,"From an estate site in Pope Valley that rises to an elevation of 1,000-feet, this impresses in high-toned raspberry and cassis fruitiness, accompanied by an aromatic note of violet. Well structured and full bodied, it has secondary characteristics of cedar and dried herb, the oak supportive and not in the way. This will do well in the cellar; enjoy best from 2025–2030.",Estate Grown,,Gratus 2015 Estate Grown Malbec (Napa Valley),$55 , California,94, Napa,Virginie Boone,@vboone,Napa Valley,Not rated yet [Add Your Review],Malbec,2015,Gratus
44,14.90%,"Santa Barbara County, Central Coast, California, US",750 ml,Red, US,3/1/2019,"Freshly smashed red-currant and blackberry aromas provide a bright and accessible nose. The palate is layered with tobacco, mint and plum flavors, and there is good acidic zip to the lively feel.",Flood Family Vineyards,,Rancho Sisquoc 2016 Flood Family Vineyards Malbec (Santa Barbara County),$32 , California,91, Central Coast,Matt Kettmann,@mattkettmann,Santa Barbara County,Not rated yet [Add Your Review],Malbec,2016,Rancho Sisquoc
45,14.20%,"Napa Valley, Napa, California, US",750 ml,Red, US,3/1/2019,Thick red- and black-cherry fruit punctures more savory earthy elements of dried herb and currant in this tart tangy wine. A strong core of tannin supports the ripeness with violet aromatics leading the way.,Cadden Family Vineyard,,Toybox Wine Cellars 2015 Cadden Family Vineyard Malbec (Napa Valley),$65 , California,90, Napa,Virginie Boone,@vboone,Napa Valley,Not rated yet [Add Your Review],Malbec,2015,Toybox Wine Cellars
46,13.40%,"Applegate Valley, Southern Oregon, Oregon, US",750 ml,Red, US,3/1/2019,Côt is an alternate name for Malbec—a southern Oregon strength. This tasty wine mixes plum and wild-berry fruit with smoky toast from 18 months in barrel. It's drinking well and should go another three or four years.,Estate Cuvée,,Troon 2016 Estate Cuvée Côt (Applegate Valley),$35 , Oregon,89, Southern Oregon,Paul Gregutt,@paulgwine ,Applegate Valley,Not rated yet [Add Your Review],"Côt, Malbec",2016,Troon
47,14.30%,"Applegate Valley, Southern Oregon, Oregon, US",750 ml,Red, US,3/1/2019,"Raspberry jam carries the fruit, with better balance than the winery's other 2015 reds, which seem bitter and tannic in comparison. Here there's enough fruit to compensate for some initial roughness. The wine will reward aggressive aeration.",,,Schmidt 2015 Malbec (Applegate Valley),$35 , Oregon,87, Southern Oregon,Paul Gregutt,@paulgwine ,Applegate Valley,Not rated yet [Add Your Review],Malbec,2015,Schmidt
48,14.80%,"Walla Walla Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,3/1/2019,"The aromas offer notes of dried cherry and licorice, with the fruit seeming a bit desiccated. Ripe, full-bodied flavors follow. The fruit seems dried out, but it still provides enjoyment.",McClellan Estate Vineyard,,Seven Hills 2016 McClellan Estate Vineyard Malbec (Walla Walla Valley (WA)),$35 , Washington,87, Columbia Valley,Sean P. Sullivan,@wawinereport,Walla Walla Valley (WA),Not rated yet [Add Your Review],Malbec,2016,Seven Hills
49,13.60%,"Rogue Valley, Southern Oregon, Oregon, US",750 ml,Red, US,3/1/2019,"Estate-grown, firm and compact, this leans toward barely ripened flavors of cherry tomato and thin black cherry. There's a touch of buttery barrel, along with a gentle earthy character.",,,Del Rio 2015 Malbec (Rogue Valley),$32 , Oregon,86, Southern Oregon,Paul Gregutt,@paulgwine ,Rogue Valley,Not rated yet [Add Your Review],Malbec,2015,Del Rio
50,14%,"Happy Canyon of Santa Barbara, Central Coast, California, US",750 ml,Red, US,3/1/2019,"Coffee grinds, wet soils and dark fruits show on the nose of this bottling. The palate is slightly sour with berry and forest-floor moss flavors.",My Way,,Martellotto 2017 My Way Malbec (Happy Canyon of Santa Barbara),$30 , California,86, Central Coast,Matt Kettmann,@mattkettmann,Happy Canyon of Santa Barbara,Not rated yet [Add Your Review],Malbec,2017,Martellotto
51,13.90%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,3/1/2019,"The aromas are quite green, with notes of green pepper, dried tobacco and fresh green herb along with orange peel. Light, tangy fruit flavors follow, with plentiful orange peel notes throughout.",,,Mercer 2016 Malbec (Columbia Valley (WA)),$20 , Washington,85, Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Valley (WA),Not rated yet [Add Your Review],Malbec,2016,Mercer
52,14.40%,"Oregon, Oregon Other, Oregon, US",750 ml,Red, US,3/1/2019,"Reduced to the point of inscrutable, other than scents of rubber tire, this wine stayed stubbornly closed even after many hours. What flavors were there appeared dull and sour, with weedy fruit.",Terrebonne,,Maragas 2015 Terrebonne Malbec (Oregon),$32 , Oregon,83, Oregon Other,Paul Gregutt,@paulgwine ,Oregon,Not rated yet [Add Your Review],Malbec,2015,Maragas
53,14.10%,"Napa Valley, Napa, California, US",750 ml,Red, US,2/1/2019,"A 100% varietal wine, this impresses mightily in its offering of blueberry-cobbler flavor and graham cracker. Dark chocolate and white pepper contrast easily within bright polished tannins and a lingering finish of leather and graphite.",,,Stags' Leap Winery 2015 Malbec (Napa Valley),$60 , California,93, Napa,Virginie Boone,@vboone,Napa Valley,Not rated yet [Add Your Review],Malbec,2015,Stags' Leap Winery
54,14.90%,"Mendoza, Mendoza Province, Argentina",750 ml,Red, Argentina,2/1/2019,"Hailing from a hot vintage, this mature Malbec smells ripe, baked and much like raisin and chocolate. A huge palate is creamy and lush; balsamic berry, chocolate and stewed fig flavors finish slow and steady, with chocolaty richness. Drink through 2020.",One La Dolores Vineyard,Cork Alliance,Antigal 2009 One La Dolores Vineyard Malbec (Mendoza),$88 , Mendoza Province,92,Mendoza,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],Malbec,2009,Antigal
55,14.80%,"Perdriel, Mendoza Province, Argentina",750 ml,Red, Argentina,2/1/2019,"Ripe, slightly raisiny aromas stop short of cooked. That said, there's a sense of overripeness to the palate. If that theme is getting boring, then sorry, because this tastes of desiccated black grapes and prune. Cobos is good enough to make excellent wine in less than optimal years; this is a prime example of that.",Cobos Marchiori Estate Vineyard,Paul Hobbs Selections,Viña Cobos 2015 Cobos Marchiori Estate Vineyard Malbec (Perdriel),$225 , Mendoza Province,92,Perdriel,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],Malbec,2015,Viña Cobos
56,14%,"Agrelo, Mendoza Province, Argentina",750 ml,Red, Argentina,2/1/2019,"Aromas of blackberry, cassis, hot pavement and herb are solid but not effusive. This is a full and balanced Malbec with adequate freshness to the palate. Dark plum, blackberry and chocolate check off what's normal for a wine of this level, while fair tannins lend grip to a lengthy finish. Drink through 2025.",Estate Bottled,1_No Submitting Co,Melipal 2015 Estate Bottled Malbec (Agrelo),N/A, Mendoza Province,91,Agrelo,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],Malbec,2015,Melipal
