,Alcohol,Appellation,Bottle Size,Category,Country,Date Published,Description,Designation,Importer,Name,Price,Province,Rating,Region,Reviewer,Reviewer Twitter Handle,Subregion,User Avg Rating,Variety,Vintage,Winery
10,15%,"Ventoux, Rhône Valley, France",750 ml,Red, France,7/1/2019,"Made from 90% Grenache and 10% Syrah, this massive, intensely fruity red offers loads of juicy black-cherry and plum flavors. The palate is warm and supple, accented by spicy tones of anise and cinnamon. These are balanced by fresh notes of lavender and violet as well as firm, finely edged tannins that structure the finish.",Orca,"Fruit of the Vines, Inc",Marrenon 2016 Orca Grenache (Ventoux),$21, Rhône Valley,90,Ventoux,Anna Lee C. Iijima,,,Not rated yet [Add Your Review],Grenache,2016,Marrenon
11,13.9%,"Santa Ynez Valley, Central Coast, California, US",750 ml,Rose, US,7/1/2019,"Pale-pink in the glass, this rosé of Grenache offers aromas of lemon glace, light strawberry and melon on the nose. It's taut on the palate, where strawberry and lemon peel flavors ride a well-constructed mouthfeel.",Rosé of,,Kaena 2018 Rosé of Grenache (Santa Ynez Valley),$25, California,90, Central Coast,Matt Kettmann,@mattkettmann,Santa Ynez Valley,Not rated yet [Add Your Review],Grenache,2018,Kaena
12,13.2%,"Sonoma Valley, Sonoma, California, US",750 ml,Rose, US,7/1/2019,"Light in citrus tones, herb de Provence and earth, this refreshing wine has a grassy, floral element that's pretty and inviting.",Rosé of,,The Grenachista 2018 Rosé of Grenache Noir (Sonoma Valley),$24, California,89, Sonoma,Virginie Boone,@vboone,Sonoma Valley,Not rated yet [Add Your Review],"Grenache Noir, Grenache",2018,The Grenachista
13,13.9%,"Santa Ynez Valley, Central Coast, California, US",750 ml,Rose, US,7/1/2019,"A yellower shade of pink, this bottling offers yellow-grapefruit rinds, rose petal and crushed chalk aromas on the nose. The palate shows nectarine, yellow-apple rinds, a taut texture and bright acidity.",Rosé of,,Kaena 2017 Rosé of Grenache (Santa Ynez Valley),$25, California,89, Central Coast,Matt Kettmann,@mattkettmann,Santa Ynez Valley,Not rated yet [Add Your Review],Grenache,2017,Kaena
14,14.1%,"Paso Robles, Central Coast, California, US",750 ml,Rose, US,7/1/2019,"Pale-pink in the glass, this bottling begins with very delicate aromas of pink lime, pluot, nectarine and the slightest bubblegum. There is strong acidity on the sip, where pink melon and steely minerality make for a clean and crisp style.",Stefano Vineyard Rosé of,,San Simeon 2018 Stefano Vineyard Rosé of Grenache (Paso Robles),$24, California,89, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles,Not rated yet [Add Your Review],Grenache,2018,San Simeon
15,14.9%,"Sierra Foothills, Sierra Foothills, California, US",750 ml,Red, US,7/1/2019,"Buttery baking-spice aromas and flavors make this full-bodied wine taste almost sweet. It shows ripe plums and raisins on the palate and has a good, lightly gripping texture.",,,Le Casque 2016 Grenache (Sierra Foothills),$25, California,88, Sierra Foothills,Jim Gordon,@gordone_cellars,Sierra Foothills,Not rated yet [Add Your Review],Grenache,2016,Le Casque
16,14.4%,"Los Angeles County, South Coast, California, US",750 ml,Red, US,7/1/2019,"From a vineyard in the Antelope Valley, this bottling is very unique, starting with green-herb aromas of bay leaf, moss and dewy tarragon, with a touch of raspberry as well. The funky herbs show on the palate as well, where green olive plays against brighter red fruits. The structure and acidity are solid.",Swayze Vineyard,,Cavaletti 2017 Swayze Vineyard Grenache (Los Angeles County),$40, California,88, South Coast,Matt Kettmann,@mattkettmann,Los Angeles County,Not rated yet [Add Your Review],Grenache,2017,Cavaletti
17,15.5%,"Calatayud, Northern Spain, Spain",750 ml,Red, Spain,7/1/2019,"Flat berry aromas are pretty heavy, while this Garnacha is so full in body that it's a bit over the top for what it is. Ripe, candied flavors of baked black fruits and chocolate finish with bulk.",Garnacha De Fuego,Jorge Ordóñez Selections,Breca 2016 Garnacha De Fuego Garnacha (Calatayud),$9, Northern Spain,84,Calatayud,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],"Garnacha, Grenache",2016,Breca
18,14%,"Cariñena, Northern Spain, Spain",750 ml,Red, Spain,7/1/2019,Peppy red plum and currant aromas are anything but serious. This Garnacha feels sticky and fairly flat. Candied cherry and raspberry flavors finish heavy and a bit cloying.,Her Soul,"Classic Wines, Inc",Xucrogas 2016 Her Soul Garnacha (Cariñena),$14, Northern Spain,83,Cariñena,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],"Garnacha, Grenache",2016,Xucrogas
19,13%,"Cariñena, Northern Spain, Spain",750 ml,Red, Spain,7/1/2019,"Gaseous plastic-like aromas share the nose with olive and blueberry notes. The palate is full of both acid and pulp, but it's not integrated. Scattered flavors of plum and berry close down on a rough, skinned finish.",El Gordo,W. Direct,Ignacio Marín NV El Gordo Garnacha (Cariñena),N/A, Northern Spain,83,Cariñena,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],"Garnacha, Grenache",,Ignacio Marín
20,14.5%,"Cariñena, Northern Spain, Spain",750 ml,Red, Spain,7/1/2019,"Heavily oaked aromas of milk chocolate and rubber eraser gives this Garnacha an “overworked” nose. The palate is big, thick, scratchy and edgy, with a heavy coating of chocolaty oak applied to sappy black plum flavors. When clove and vanilla hit like thunder on the finish, it's just too much.",Viñas Viejas de Paniza,Vinaio Imports,Bodegas Paniza 2016 Viñas Viejas de Paniza Garnacha (Cariñena),N/A, Northern Spain,82,Cariñena,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],"Garnacha, Grenache",2016,Bodegas Paniza
21,15%,"Russian River Valley, Sonoma, California, US",750 ml,Red, US,6/1/2019,"Fermented 40% whole cluster and then given time to age in neutral barrels, this is a brawny, exotic and boldly flavorful wine. Black licorice, grilled meat and baked strawberry and cherry give it a complex lift of intrigue and succulence. The tannins are firmly structured and supportive.",El Diablo Vineyard,,Jeff Cohn 2016 El Diablo Vineyard Grenache (Russian River Valley),$45, California,94, Sonoma,Virginie Boone,@vboone,Russian River Valley,Not rated yet [Add Your Review],Grenache,2016,Jeff Cohn
22,15.8%,"Paso Robles, Central Coast, California, US",750 ml,Red, US,6/1/2019,"Candied Bing cherry, rose petals, potpourri and spice-rack flavors show on the nose of this single-vineyard bottling. There is a compelling grip to the palate, where candied rose and berry flavors meet with turned earth, gravelly sandstone and light clove flavors.",Wills Hills,,Nelle 2016 Wills Hills Grenache (Paso Robles),$50, California,93, Central Coast,Matt Kettmann,@mattkettmann,Paso Robles,Not rated yet [Add Your Review],Grenache,2016,Nelle
23,14.8%,"Santa Ynez Valley, Central Coast, California, US",750 ml,Red, US,6/1/2019,"Structured aromas of blackberry sorbet, dark hibiscus and crushed granite show on the nose of this very compelling take on Grenache. There is a very strong tension to the palate, carrying dynamic flavors of black raspberry, tarragon, mint and candied rosewater.",,,Zaca Mesa 2016 Grenache (Santa Ynez Valley),$38, California,93, Central Coast,Matt Kettmann,@mattkettmann,Santa Ynez Valley,Not rated yet [Add Your Review],Grenache,2016,Zaca Mesa
24,14.5%,"McLaren Vale, South Australia, Australia",750 ml,Red, Australia,6/1/2019,"This old-vine Grenache delivers aromas of strawberry and rose jam that is hard to resist. Red licorice, green herbs and white pepper are also there, paving the way for a light, silky, juicy palate that shows off delicate red fruit and a bright line of acidity. The tannins bring an earthy, savory quality to the mix.",Warboys Vineyard,Trinchero Family Estates,Angove 2016 Warboys Vineyard Grenache (McLaren Vale),$75, South Australia,92,McLaren Vale,Christina Pickard,@winewchristina,,Not rated yet [Add Your Review],Grenache,2016,Angove
25,13.3%,"Santa Ynez Valley, Central Coast, California, US",750 ml,Rose, US,6/1/2019,"A beautiful pale pink in color, this rosé, which includes 10% Grenache Blanc, shows lovely aromas of bubblegum, strawberry and wet cement on the nose. There is a great sizzle to the palate, where citrusy energy delivers rounded flavors of plum and strawberry.",Rose of,,Brick Barn 2017 Rose of Grenache (Santa Ynez Valley),$30, California,92, Central Coast,Matt Kettmann,@mattkettmann,Santa Ynez Valley,Not rated yet [Add Your Review],Grenache,2017,Brick Barn
26,11.07%,"Ballard Canyon, Central Coast, California, US",750 ml,Red, US,6/1/2019,"Drake Whitcraft is pushing the earlier-pick, low-alcohol styles like few others, and this almost rosé-like Grenache is an extreme example. Transparent in the glass, the wine shows aromas of fresh strawberries, cinnamon, rose and tarragon. It's bright on the sip with cran-raspberry flavors and a simple touch of minty herbs. It's a great red wine for the beach.",Stolpman Vineyard,,Whitcraft 2017 Stolpman Vineyard Grenache (Ballard Canyon),$45, California,92, Central Coast,Matt Kettmann,@mattkettmann,Ballard Canyon,Not rated yet [Add Your Review],Grenache,2017,Whitcraft
27,15.1%,"Sonoma Valley, Sonoma, California, US",750 ml,Red, US,6/1/2019,"Having had to skip a vintage in 2015, this wine is back with a pleasing vengeance, and is cofermented with 15% Mourvèdre. Strawberry, cherry and earth give it a bold, fresh flavorful complexity with depth and surprising freshness. It lingers in cherry cordial and cedar.",Rossi Ranch,,Carlisle 2016 Rossi Ranch Grenache (Sonoma Valley),$40, California,92, Sonoma,Virginie Boone,@vboone,Sonoma Valley,Not rated yet [Add Your Review],Grenache,2016,Carlisle
28,14%,"McLaren Vale, South Australia, Australia",750 ml,Red, Australia,6/1/2019,"This biodynamic winery has produced a bright and bouncy wine that is grown at 278 feet above sea level, higher than most of McLaren Vale. Like sipping fresh strawberry or cherry juice—with crushed rose petal and white pepper spice in the mix—it's rounded out by soft, sandy tannins and plenty of acidity. Drink chilled in the summer with a cheese or meat platter.",Thomas Block,Little Peacock Imports,Paxton 2017 Thomas Block Grenache (McLaren Vale),$35, South Australia,91,McLaren Vale,Christina Pickard,@winewchristina,,Not rated yet [Add Your Review],Grenache,2017,Paxton
29,13.4%,"Sonoma Valley, Sonoma, California, US",750 ml,Rose, US,6/1/2019,"This is a fine example of how well this variety does when made into a lighthearted light-bodied quaff of a wine, with an inviting a bouquet of peach and strawberry. Dry, tangy and refreshing in acidity, it sizzles on the palate with verve and energy.",Rosé of,,Anaba 2018 Rosé of Grenache (Sonoma Valley),$28, California,91, Sonoma,Virginie Boone,@vboone,Sonoma Valley,Not rated yet [Add Your Review],Grenache,2018,Anaba
30,13.8%,"Rogue Valley, Southern Oregon, Oregon, US",750 ml,Red, US,6/1/2019,"This new southern Oregon winery sources Jaxon Vineyards fruit and uses it well. This fresh, lively, fine-tuned Grenache bolsters the region's claim on the grape, which seems like a natural fit for the hot-climate Rogue Valley. Zin-like raspberry fruit, sappy acids and excellent concentration are the hallmarks.",,,Goldback 2016 Grenache (Rogue Valley),$26, Oregon,91, Southern Oregon,Paul Gregutt,@paulgwine ,Rogue Valley,Not rated yet [Add Your Review],Grenache,2016,Goldback
31,15%,"Rogue Valley, Southern Oregon, Oregon, US",750 ml,Red, US,6/1/2019,"Grenache rarely attains this sort of high alcohol concentration without feeling overblown, but here it works. High toned and deeply saturated, this black-purple wine clobbers the palate with thick, lush, explosively fruity blueberry and blackberry fruit. Jammy and potent, it was fermented whole cluster and kept in neutral oak for 16 months. If you love Grenache, this shows some of the best of what's being done with the grape in southern Oregon.",,,Simple Machine 2014 Grenache (Rogue Valley),$34, Oregon,91, Southern Oregon,Paul Gregutt,@paulgwine ,Rogue Valley,Not rated yet [Add Your Review],Grenache,2014,Simple Machine
32,14.5%,"McLaren Vale, South Australia, Australia",750 ml,Red, Australia,6/1/2019,"In typical Grenache fashion, this is a fragrant, fruity wine that charges out of the gate with ripe red berry fruit, red licorice, orange zest, crushed flower and soft peppery spice. The palate is held together by savory tannins and mouthwatering acidity, which balances the slightly syrupy fruit.",Bush Vine,"American Estates Wines, Inc",Chapel Hill 2017 Bush Vine Grenache (McLaren Vale),$38, South Australia,90,McLaren Vale,Christina Pickard,@winewchristina,,Not rated yet [Add Your Review],Grenache,2017,Chapel Hill
33,14.1%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,6/1/2019,"Blended with 13% Syrah and 12% Mourvèdre, this wine is pale in color, showing some bricking at the rim. The aromas are a bit hard to tease out, with notes of cranberry and spice showing over time. The palate is elegant and transparent in style, with plentiful strawberry and raspberry flavors. The concentration is light initially, fleshing out a bit over time. What's there is lovely.",The Third Man,,Gramercy 2016 The Third Man Grenache (Columbia Valley (WA)),$36, Washington,90, Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Valley (WA),Not rated yet [Add Your Review],Grenache,2016,Gramercy
34,14.5%,"McLaren Vale, South Australia, Australia",750 ml,Red, Australia,6/1/2019,"This starts out with a fragrant, intriguing nose of herbal tonic, red fruit, rose petal, a copper penny tang and a damp earth core. The acidity on the palate is a little surprising and unexpected for this grape variety. It's crisp and makes the fruit feel a touch tart. But there's also a lovely, sandy-textured palate wound with soft tannins. Sip slightly chilled on a warm day.",Jester,Vintus LLC,Mitolo 2017 Jester Grenache (McLaren Vale),$22, South Australia,90,McLaren Vale,Christina Pickard,@winewchristina,,Not rated yet [Add Your Review],Grenache,2017,Mitolo
35,14%,"McLaren Vale, South Australia, Australia",750 ml,Red, Australia,6/1/2019,"A light- to medium-bodied Grenache boasting many of this variety's typical aromas: red currants, raspberries, florals, olives, peppery spices and a savory spine. The fruit on the sandy-textured palate is tart and juicy, wound with silky, savory tannins. The finish is a touch bitter.",Old Vine Single Vineyard,"Ecosur Group, LLC",Blackbilly 2016 Old Vine Single Vineyard Grenache (McLaren Vale),$25, South Australia,89,McLaren Vale,Christina Pickard,@winewchristina,,Not rated yet [Add Your Review],Grenache,2016,Blackbilly
36,14%,"Columbia Valley (OR), Oregon Other, Oregon, US",750 ml,Red, US,6/1/2019,"Light in color and showing some bricking, this wine has aromas that offer notes of sandalwood, flower, white pepper, spice, herb and raspberry. Light, delicate smoked meat and spice flavors follow. This one is all about elegance and delicacy, but it brings both in abundance.",,,Hood Crest 2016 Grenache (Columbia Valley (OR)),$36, Oregon,88, Oregon Other,Sean P. Sullivan,@wawinereport,Columbia Valley (OR),Not rated yet [Add Your Review],Grenache,2016,Hood Crest
37,13.7%,"Santa Barbara County, Central Coast, California, US",750 ml,Red, US,6/1/2019,Strongly extracted cherry and mulberry aromas meet with sandalwood and pine-forest aromas on the nose of this bottling. The ripe berry and licorice flavors of the palate are very powerful.,L'Imagnaire,,Vie Winery 2014 L'Imagnaire Grenache (Santa Barbara County),$45, California,88, Central Coast,Matt Kettmann,@mattkettmann,Santa Barbara County,Not rated yet [Add Your Review],Grenache,2014,Vie Winery
38,13.1%,"Oregon Other, Oregon, US",750 ml,Red, US,6/1/2019,"Lighter in color, with aromas of freshly squeezed Satsuma orange, raspberry and potpourri that lead to quite lightly styled fruit flavors. The concentration is light, but what is there intrigues.",Reserve,,Aubichon Cellars 2016 Reserve Grenache,$50, Oregon,88,Oregon Other,Sean P. Sullivan,@wawinereport,,Not rated yet [Add Your Review],Grenache,2016,Aubichon Cellars
39,14.5%,"Red Hills, Lake County, California, US",750 ml,Red, US,5/1/2019,"This appetizing and full-bodied wine is worth searching out. It combines the varietal's ripe, generous aromas with an almost sinewy, tangy mouthfeel that brings out savory woodsy mineral flavors. It has very good balance, firm tannins and bracing acidity along with ripeness and roundness on the midpalate.",,,Sol Rouge 2015 Grenache (Red Hills),$36, California,93, Lake County,Jim Gordon,@gordone_cellars,Red Hills,Not rated yet [Add Your Review],Grenache,2015,Sol Rouge
40,15%,"Lirac, Rhône Valley, France",750 ml,Red, France,5/1/2019,"Prominent accents of sweet spice and vanilla lend an extravagant flair to this bold, big-bodied varietal Grenache. Richly concentrated and opulent in texture, it's irresistibly hedonistic but nuanced too, shaded by savory notes of black pepper and earth. The long finish is marked by ripe but persistent tannins. It's ready now but the wine should improve through 2026.",Bel Canto,DB Wine Selection,Domaine Maby 2016 Bel Canto Grenache (Lirac),$26, Rhône Valley,92,Lirac,Anna Lee C. Iijima,,,Not rated yet [Add Your Review],Grenache,2016,Domaine Maby
41,14.6%,"High Valley, Lake County, California, US",750 ml,Red, US,5/1/2019,"This wine offers abundant plum, berry and new-oak aromas. Mouthfilling fruit flavors develop on the palate, with a smooth texture to carry them along. It is rich, lightly tannic, full bodied and satisfying.",,,Brassfield 2016 Grenache (High Valley),$40, California,91, Lake County,Jim Gordon,@gordone_cellars,High Valley,Not rated yet [Add Your Review],Grenache,2016,Brassfield
42,13.9%,"Mendocino County, Mendocino County, California, US",750 ml,Rose, US,5/1/2019,"This appealing and well-balanced wine checks all the boxes for rosé. It is crisp, lively and lightly fruity. The color is light salmon, the aromas are full of peaches and tangerines and the flavors are dry, tangy and just fruity enough.",Trails End Vineyard Rosé di,,Campovida 2017 Trails End Vineyard Rosé di Grenache (Mendocino County),$36, California,91, Mendocino County,Jim Gordon,@gordone_cellars,Mendocino County,Not rated yet [Add Your Review],Grenache,2017,Campovida
43,14.5%,"Côtes du Rhône Villages, Rhône Valley, France",750 ml,Red, France,5/1/2019,"This varietal Grenache sourced from vines dating to 1895 is a lavish explosion of black-cherry, strawberry-jam and jelly flavors accented by vanilla and spice. Plush and easy on the palate, its fruity and forward style is accentuated by soft acidity and fine-grained tannins. This hedonistic wine is ready now but should hold well through 2022.",1895,Kinson The Future of Wine,Château Maucoil 2016 1895 Grenache (Côtes du Rhône Villages),N/A, Rhône Valley,90,Côtes du Rhône Villages,Anna Lee C. Iijima,,,Not rated yet [Add Your Review],Grenache,2016,Château Maucoil
44,14.5%,"Côtes du Rhône Villages, Rhône Valley, France",750 ml,Red, France,5/1/2019,"Sourced from vines averaging more than 60 years in age, this is an intensely concentrated, succulent wine. Black-cherry and raspberry flavors are plush and open-knit, with a roundness accentuated by yielding acidity. It's a juicy, hedonistic sip structured by a slight grip of tannins on the finish. Drink now through 2022.",Cuvée Romanaise,Serge Doré Selections,Domaine Fond Croze 2016 Cuvée Romanaise Grenache (Côtes du Rhône Villages),$35, Rhône Valley,89,Côtes du Rhône Villages,Anna Lee C. Iijima,,,Not rated yet [Add Your Review],Grenache,2016,Domaine Fond Croze
45,13.3%,"Clarksburg, Central Valley, California, US",750 ml,Red, US,5/1/2019,"This medium-bodied wine is light enough in color to pass as a rosé, and shows good, fresh red-fruit flavors along with good balance. Brisk acidity and light tannins give some grip on the palate, while raspberry flavors last through the tangy finish.",Heringer Estates,,Passaggio 2016 Heringer Estates Grenache (Clarksburg),$48, California,89, Central Valley,Jim Gordon,@gordone_cellars,Clarksburg,Not rated yet [Add Your Review],Grenache,2016,Passaggio
46,14.8%,"Columbia Valley (WA), Columbia Valley, Washington, US",750 ml,Red, US,5/1/2019,"Light in color, this is a blend of fruit from Upland, French Creek and Elevation vineyards. The aromas offer notes of cherry Jolly Rancher, white pepper, potpourri, blueberry and herb. Black and green olive notes emerge over time. Elegant, not fully concentrated fruit and savory flavors follow. Give it time to open up.",The Sorceress,,Sleight of Hand 2016 The Sorceress Grenache (Columbia Valley (WA)),$45, Washington,88, Columbia Valley,Sean P. Sullivan,@wawinereport,Columbia Valley (WA),Not rated yet [Add Your Review],Grenache,2016,Sleight of Hand
47,13.5%,"Terra Alta, Catalonia, Spain",750 ml,Red, Spain,5/1/2019,"Aromas of leather, cherry and berry aromas come with additional notes of dried herbs, grainy oak and animal hide. The medium-bodied palate is straightforward and lifted by bright acidity. Flavors of cherry tomato, red plum, raspberry and vanilla finish with springiness and punch. Drink now.",Clos Dalian Crianza,Monsieur Touton Selection Ltd,Cellers Unió 2016 Clos Dalian Crianza Garnacha (Terra Alta),$11, Catalonia,88,Terra Alta,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],"Garnacha, Grenache",2016,Cellers Unió
48,14.8%,"Mendocino County, Mendocino County, California, US",750 ml,Red, US,5/1/2019,"This is a full-bodied wine that's pleasant and soothing to drink, and rather light in terms of flavor and tannin. It has a light-garnet color, fresh plum and raspberry aromas and mild, tasty, spiced-plum flavors.",Dark Horse Ranch,,Campovida 2015 Dark Horse Ranch Grenache (Mendocino County),$44, California,88, Mendocino County,Jim Gordon,@gordone_cellars,Mendocino County,Not rated yet [Add Your Review],Grenache,2015,Campovida
49,14.7%,"Yakima Valley, Columbia Valley, Washington, US",750 ml,Red, US,5/1/2019,"Aromas of raspberry candy, cranberry preserve and herb are followed by ripe, plump, fruit-driven flavors that have a pleasing yum factor. Pair it with pizza.",,,Idilico 2015 Garnacha (Yakima Valley),$20, Washington,88, Columbia Valley,Sean P. Sullivan,@wawinereport,Yakima Valley,Not rated yet [Add Your Review],"Garnacha, Grenache",2015,Idilico
50,14.9%,"Amador County, Sierra Foothills, California, US",750 ml,Red, US,5/1/2019,"This wine is appealing for its forward-fruit aromas, good balance despite full body, and well-concentrated flavors of red cherry, sour cherry and cedar. Moderate tannins keep the texture lively and gripping.",,,Iron Hub 2015 Grenache (Amador County),$25, California,88, Sierra Foothills,Jim Gordon,@gordone_cellars,Amador County,Not rated yet [Add Your Review],Grenache,2015,Iron Hub
51,13.5%,"Catalunya, Catalonia, Spain",750 ml,Red, Spain,5/1/2019,"Foxy berry aromas are jammy and fleshy, while this Grenache shows rubbing tannins and bold acidity. Tomato, plum and oaky flavors have an herbal element, while this deals an additional hit of oak on a finish with scratchy residual tannins.",GX Organic,Avant Garde Wine & Spirits,Alta Alella 2017 GX Organic Garnatxa (Catalunya),$16, Catalonia,88,Catalunya,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],"Garnatxa, Grenache",2017,Alta Alella
52,14.3%,"Sierra Foothills, Sierra Foothills, California, US",750 ml,Red, US,5/1/2019,"This wine is rich and soothing, showing distinctive floral, grapey aromas, a broad mouthfeel and ripe concentrated plum and prune flavors. It feels quite full bodied but not very tannic, and leaves a lingering finish.",Grace's,,Langman Estate 2016 Grace's Grenache (Sierra Foothills),$36, California,87, Sierra Foothills,Jim Gordon,@gordone_cellars,Sierra Foothills,Not rated yet [Add Your Review],Grenache,2016,Langman Estate
53,13%,"Navarra, Northern Spain, Spain",750 ml,Red, Spain,5/1/2019,"Herbal red plum aromas come with an animal note. A tight, pulling palate features rough tannins, while this tastes of sappy plum and raspberry. A hollow but fresh finish leaves behind scrubbing tannins.",Cátulo,Axial Vinos USA,Bodegas la Casa de Lúculo 2017 Cátulo Garnacha (Navarra),$9, Northern Spain,86,Navarra,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],"Garnacha, Grenache",2017,Bodegas la Casa de Lúculo
54,14.5%,"Montsant, Catalonia, Spain",750 ml,Red, Spain,5/1/2019,"Stalky red berry aromas are low on fruit, while this Catalonian Garnatxa feels grabby but short on depth. Oaky, pasty flavors outweigh modest fruit notes, while this feels grainy, gummy and slightly hot.",El Veïnat,Private Cask Imports,Vinedos Singulares 2016 El Veïnat Garnatxa (Montsant),$19, Catalonia,86,Montsant,Michael Schachner,@wineschach,,Not rated yet [Add Your Review],"Garnatxa, Grenache",2016,Vinedos Singulares
